householdid,productid,storeid,transactiontime,daydate,loyaltydiscount,coupondiscount,couponmatchdiscount,salesvalue,productdesc,productsubdesc,displayadtypedesc
706,6703892,343,2:48 PM,Aug 27,0,0,0,1,ORAL HYGIENE PRODUCTS,TOOTHPASTE,Front Aisle
718,15596515,324,6:42 PM,May 24,-3.3,0,0,1.49,COLD CEREAL,KIDS CEREAL,Front End Cap
614,15926885,288,1:52 PM,Sep 26,-0.99,0,0,1.5,BAG SNACKS,BAGGED CHEESE SNACKS,Front End Cap
630,923673,306,12:03 PM,Aug 3,-2.84,0,0,3,COLD CEREAL,ADULT CEREAL,Front End Cap
607,990335,432,9:18 PM,May 9,-1.39,0,0,1.88,COLD CEREAL,ALL FAMILY CEREAL,Rear End Cap
696,1101980,31742,1:11 AM,Apr 27,-2.17,0,0,5,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,Front End Cap
715,1033615,354,12:12 PM,Apr 26,0,0,0,0.99,REFRGRATD JUICES/DRNKS,DAIRY CASE FRUIT DRINKS (NO JU,Other Location Display
766,8090532,322,1:18 PM,Jun 16,-2.09,0,0,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,Rear Aisle
696,12604354,31742,11:36 AM,Sep 26,-0.32,0,0,0.97,CHRISTMAS  SEASONAL,TREE STANDS,Rear End Cap
764,13190340,33923,9:22 AM,Jan 17,-0.29,0,0,1,CANDY - PACKAGED,EASTER GIFTWARE/DECOR,In-Aisle
605,893018,369,11:04 AM,Apr 7,-0.7,0,0,2.29,CHEESE,IWS SINGLE CHEESE,Rear Aisle
718,859075,324,2:04 PM,Feb 8,-0.39,0,0,4.95,CHEESE,SHREDDED CHEESE,Other Location Display
718,917384,324,1:03 PM,Jul 6,-1.7,0,0,11.99,FRZN MEAT/MEAT DINNERS,FRZN MULTI SERVE ENTREES ALL,Rear End Cap
718,840601,324,5:15 PM,Sep 10,-0.39,0,0,1,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,In-Aisle
647,7409874,343,12:45 PM,Apr 27,0,0,0,2.75,BAG SNACKS,TORTILLA/NACHO CHIPS,In-Aisle
761,923673,343,12:12 PM,Jul 16,-1.42,0,0,1.5,COLD CEREAL,ADULT CEREAL,Front End Cap
761,919534,343,11:39 AM,Oct 2,-3.03,-1.4,-1.4,2.74,REFRGRATD DOUGH PRODUCTS,REFRIGERATED SPECILATY ROLLS,In-Aisle
761,5568378,343,11:39 AM,Oct 2,0,0,0,2.75,BAG SNACKS,TORTILLA/NACHO CHIPS,In-Aisle
696,1126899,31742,10:33 PM,Oct 3,0,0,0,4.58,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,Front End Cap
733,843306,356,11:00 AM,Sep 2,-0.49,0,0,1,FRUIT - SHELF STABLE,PINEAPPLE,In-Shelf
718,1038217,324,12:10 PM,Jun 30,-0.1,0,0,1.29,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),Front End Cap
696,1126899,31742,4:25 PM,Sep 30,0,0,0,2.29,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,Front End Cap
699,12302114,408,8:34 AM,Sep 30,-2,0,0,4.99,COLD AND FLU,COLD AND FLU,Side-Aisle End Cap
768,914190,323,9:08 AM,Sep 30,-0.99,0,0,1,CHEESE,CREAM CHEESE,Other Location Display
764,1104414,33923,3:08 PM,Sep 9,-1.21,0,0,1.88,CRACKERS/MISC BKD FD,SNACK CRACKERS,Rear Aisle
661,937292,330,9:18 AM,Sep 9,-1.49,0,0,2.5,BACON,ECONOMY,Rear Aisle
631,5585635,389,12:48 PM,Nov 3,0,0,0,0.4,YOGURT,YOGURT NOT MULTI-PACKS,In-Aisle
740,1136361,404,4:52 PM,Nov 4,-0.49,0,0,1,AIR CARE,AIR CARE - AEROSOLS,Rear End Cap
768,970119,339,12:19 PM,Nov 5,-0.89,0,0,1,MILK BY-PRODUCTS,COTTAGE CHEESE,Rear Aisle
764,17215097,33923,7:47 PM,Nov 11,-0.66,0,0,3.33,HAIR CARE PRODUCTS,HAIR CONDITIONERS AND RINSES,Rear End Cap
764,856252,33923,4:06 PM,Nov 13,-0.92,0,0,1.77,FROZEN PIZZA,SNACKS/APPETIZERS,Front End Cap
607,960942,372,6:10 PM,Apr 4,-1.69,0,0,1,CANNED JUICES,CRANBERRY JUICE (50% AND UNDER,Front Aisle
631,985160,389,4:40 PM,Feb 25,-2,0,0,3.99,HEAT/SERVE,ENTREES,Rear Aisle
725,1098066,400,6:50 PM,May 7,0,0,0,0.99,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,Other Location Display
696,7410342,31742,3:24 PM,Jun 25,-0.58,0,0,2,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,Front End Cap
718,9858748,324,9:53 AM,Oct 23,0,0,0,0.34,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,Front Aisle
718,883404,324,5:08 PM,Jul 20,-0.16,0,0,2.42,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,Other Location Display
718,1003616,324,4:54 PM,Jan 22,-2.38,0,0,5,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,In-Aisle
771,849100,359,1:40 PM,Nov 15,-4,0,0,1.99,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,Rear End Cap
699,902167,408,1:40 PM,Dec 4,-0.29,0,0,1,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,Front End Cap
696,849843,31742,6:09 PM,Apr 8,-0.58,0,0,2,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,In-Aisle
725,883404,400,2:08 PM,Feb 5,-0.82,0,0,1.76,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,Side-Aisle End Cap
718,859075,324,5:51 PM,Feb 5,-0.26,0,0,3.3,CHEESE,SHREDDED CHEESE,Other Location Display
712,12132685,448,12:36 PM,Feb 7,-1.19,0,0,2,REFRGRATD DOUGH PRODUCTS,REFRIGERATED COOKIES-CHUB,In-Aisle
731,13007600,445,4:16 PM,Dec 30,-1.19,0,0,1,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,In-Aisle
647,834117,343,12:19 PM,Mar 16,-0.2,0,0,3.79,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,Side-Aisle End Cap
725,871756,400,11:30 AM,Mar 18,0,0,0,3.15,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,Front End Cap
761,1068719,343,12:02 PM,Aug 25,-0.5,0,0,1.89,SUGARS/SWEETNERS,SUGAR,Rear End Cap
768,839753,323,2:17 PM,Jun 1,-0.14,0,0,0.2,SOUP,RAMEN NOODLES/RAMEN CUPS,Rear End Cap
696,1126899,31742,2:30 PM,Oct 5,0,0,0,4.58,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,Front End Cap
786,989069,339,8:30 AM,Sep 27,0,0,0,2.99,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,Rear Aisle
764,954351,33923,3:33 PM,Aug 12,-0.1,0,0,1.59,FD WRAPS/BAGS/TRSH BG,COOKING BAGS,Rear Aisle
699,893118,408,9:08 AM,Dec 6,-3.97,0,0,5,CHEESE,SHREDDED CHEESE,In-Aisle
631,921744,389,2:10 PM,Jun 10,0,0,0,1.05,BAG SNACKS,TORTILLA/NACHO CHIPS,Front End Cap
718,857849,324,3:37 PM,Mar 3,-0.3,0,0,0.59,MARGARINES,MARGARINE  STICK,Other Location Display
788,5568721,360,10:11 AM,Apr 15,-1.62,0,0,1.67,BAG SNACKS,TORTILLA/NACHO CHIPS,Other Location Display
607,931532,432,2:26 AM,May 24,0,0,0,0.59,SOFT DRINKS,SOFT DRINK BOTTLE NON-CARB (EX,Front Aisle
699,940107,408,2:06 PM,Aug 21,0,0,0,5.99,MAGAZINE,FOOD-MAGAZINE,In-Aisle
605,836635,369,9:09 PM,Oct 29,-0.67,0,0,2,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,Mid-Aisle End Cap
718,988791,324,9:53 AM,Oct 23,-1.39,0,0,1.5,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,Front End Cap
771,8014645,359,11:41 PM,Sep 4,-0.69,0,0,2,REFRGRATD DOUGH PRODUCTS,MISC REFRIG DOUGH PRODUCTS,In-Aisle
715,1022872,389,2:23 PM,Mar 23,-1.57,0,0,2,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,Other Location Display
715,1115874,389,2:23 PM,Mar 23,-1.38,0,0,1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,Front Aisle
786,1107661,339,9:02 AM,Nov 16,-0.3,0,0,0.99,BAKED BREAD/BUNS/ROLLS,MAIN MEAL BREAD,In-Aisle
731,881607,438,4:08 PM,Nov 18,-1.4,0,0,2.09,FROZEN PIE/DESSERTS,FROZEN CAKES/ALL TYPES INCLUDI,In-Aisle
741,871756,315,9:32 PM,Mar 9,-1.48,0,0,1.67,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,Rear End Cap
631,987562,389,3:02 PM,Feb 4,-0.53,0,0,1.25,CHEESE,SHREDDED CHEESE,In-Aisle
696,962671,31742,5:49 PM,Feb 5,-4.22,0,0,3.76,ICE CREAM/MILK/SHERBTS,TRADITIONAL,Front End Cap
718,996750,324,5:26 PM,Mar 28,-0.2,0,0,1.8,FRZN NOVELTIES/WTR ICE,STICKS/ENROBED,Front End Cap
605,883404,369,11:41 AM,Dec 23,-0.3,0,0,0.99,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,In-Aisle
740,942525,404,5:02 PM,Apr 1,0,0,0,3.39,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,Rear End Cap
740,1114597,404,5:02 PM,Apr 1,-0.91,0,0,0.88,REFRGRATD JUICES/DRNKS,DAIRY CASE JUICE DRNK UNDER 10,Front Aisle
786,972665,339,8:29 AM,Dec 30,0,0,0,3.59,BREAKFAST SAUSAGE/SANDWICHES,OTHER,Other Location Display
630,994928,306,7:23 PM,Feb 16,-1.22,0,0,1,EGGS,EGGS - MEDIUM,In-Aisle
725,859075,400,11:30 AM,Mar 18,-0.11,0,0,1.67,CHEESE,SHREDDED CHEESE,Other Location Display
740,1039835,404,8:24 PM,Oct 4,0,0,0,1.69,MEAT - SHELF STABLE,MISC CND MEATS,Front End Cap
718,825731,324,3:11 PM,Jun 4,-0.79,0,0,2,YOGURT,YOGURT MULTI-PACKS,In-Aisle
761,914190,343,11:15 AM,Jun 24,-5.94,0,0,6,CHEESE,CREAM CHEESE,In-Aisle
761,5585701,343,11:15 AM,Jun 24,-1,0,0,2.99,CHEESE,SHREDDED CHEESE,In-Aisle
725,883404,400,3:04 PM,Dec 4,-0.82,0,0,1.76,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,Other Location Display
630,837107,306,6:55 PM,May 29,0,0,0,2.58,DRY SAUCES/GRAVY,SAUCE MIXES GRAVY MIXES DRY,In-Aisle
768,871909,323,6:40 PM,May 31,-0.99,0,0,1,LUNCHMEAT,POULTRY,Rear Aisle
733,1049434,356,4:34 PM,Aug 10,0,0,0,1.39,FACIAL TISS/DNR NAPKIN,FACIAL TISSUE & PAPER HANDKE,Side-Aisle End Cap
761,1123536,343,1:55 PM,Jun 14,-0.31,0,0,0.88,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,In-Aisle
706,859010,343,4:43 PM,Jul 14,0,0,0,1.05,BAG SNACKS,TORTILLA/NACHO CHIPS,Other Location Display
766,981760,333,4:03 PM,Oct 16,-0.19,0,0,1,EGGS,EGGS - X-LARGE,In-Aisle
786,940947,339,8:53 AM,Jan 19,0,0,0,2.99,HEAT/SERVE,ENTREES,Other Location Display
718,973861,324,5:06 PM,Nov 20,-0.1,0,0,1.48,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,Other Location Display
718,883404,324,4:13 PM,Mar 19,-0.09,0,0,1.2,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,Rear End Cap
715,1132280,389,5:58 PM,May 22,-0.95,0,0,3,LUNCHMEAT,MISCELLANEOUS,Rear Aisle
768,915390,323,3:22 PM,Jul 27,-2.5,0,0,2.49,FROZEN PIE/DESSERTS,FROZEN FRUIT PIES  & COBBLERS,Rear End Cap
712,998558,448,10:59 AM,Aug 1,-1.08,0,0,2,MEAT - SHELF STABLE,CHILI: CANNED,Other Location Display
630,987480,329,4:36 PM,Nov 16,-1.98,0,0,1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,In-Aisle
696,1053672,31742,2:49 PM,May 9,-0.3,0,0,1.69,COOKIES/CONES,CHOCOLATE COVERED COOKIES,Rear Aisle
680,1035800,352,4:15 PM,Oct 4,-0.4,0,0,1.19,DRIED FRUIT,RAISINS,Front Aisle
607,9527549,432,8:32 PM,Jun 4,-0.4,0,0,2.69,CONDIMENTS/SAUCES,MISC MEAT SAUCES,Front Aisle
696,1126899,31742,9:24 PM,Aug 14,0,0,0,2.49,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,Front End Cap
692,849843,335,4:33 PM,Sep 21,-0.3,0,0,0.99,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,Side-Aisle End Cap
696,1066725,358,11:33 AM,Jul 3,-0.22,0,0,1.2,FRUIT - SHELF STABLE,FRUIT BOWL AND CUPS,In-Shelf
766,1105917,333,9:52 AM,Sep 26,-1.89,0,0,2,BUTTER,BUTTER,In-Aisle
647,1084551,343,5:49 PM,Jul 5,-1.59,0,0,1,DINNER MXS:DRY,SKILLET DINNERS,In-Shelf
607,974108,372,9:08 PM,Jul 6,-0.29,0,0,1,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,Front Aisle
788,873203,313,6:31 PM,Feb 9,-0.53,0,0,1.25,CHEESE,SHREDDED CHEESE,In-Aisle
786,972665,339,9:58 AM,Jan 5,0,0,0,3.59,BREAKFAST SAUSAGE/SANDWICHES,OTHER,Other Location Display
788,989069,313,2:18 PM,Jan 6,-5.98,0,0,5.98,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,Rear Aisle
764,10121965,33923,9:35 PM,Apr 23,0,0,0,1.49,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,Rear Aisle
696,987562,31742,3:31 PM,Apr 24,0,0,0,1.78,CHEESE,SHREDDED CHEESE,Other Location Display
733,1106523,356,11:00 AM,Sep 2,0,0,0,2.49,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,Other Location Display
786,878715,339,8:53 AM,Sep 7,0,0,0,15.99,BEERS/ALES,BEERALEMALT LIQUORS,Other Location Display
761,996087,343,3:43 PM,Jun 29,-0.19,0,0,2.5,CRACKERS/MISC BKD FD,SNACK CRACKERS,Side-Aisle End Cap
768,819255,343,1:54 PM,Aug 15,-0.99,0,0,2.5,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,In-Aisle
647,925178,343,7:30 PM,Nov 13,-3.99,0,0,3.99,HOT DOGS,KOSHER/SPECIALTY,In-Aisle
755,970119,388,5:25 PM,Mar 5,-1.18,0,0,2,MILK BY-PRODUCTS,COTTAGE CHEESE,In-Aisle
630,937343,306,4:58 PM,Apr 26,-1.39,0,0,2,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,Front End Cap
696,9676858,31742,9:52 PM,May 21,-1.49,0,0,2.5,CANNED JUICES,SOFT DRINKS 12/18&15PK CAN CAR,Rear Aisle
718,1030819,327,4:08 PM,Sep 14,-0.1,0,0,1.48,VEGETABLES - SHELF STABLE,PEAS GREEN,In-Shelf
601,961458,32004,6:07 PM,Aug 22,-0.29,0,0,1,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,Rear End Cap
718,833014,324,11:03 AM,Jun 26,-0.4,0,0,5.58,SEAFOOD - FROZEN,FRZN GRILLED PORTIONS,Rear Aisle
647,951590,438,6:10 PM,Oct 21,-1,0,0,2.58,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,In-Aisle
661,9884675,427,3:38 PM,Jul 16,-0.99,0,0,2.5,BAKED SWEET GOODS,SNACK CAKE - MULTI PACK,In-Aisle
718,1110793,324,9:53 AM,Oct 23,-0.08,0,0,0.96,BEANS - CANNED GLASS & MW,VARIETY BEANS - KIDNEY PINTO,Rear End Cap
788,1022119,360,11:18 AM,Nov 14,-1.14,0,0,3.75,CONVENIENT BRKFST/WHLSM SNACKS,TOASTER PASTRIES,Front End Cap
740,1134109,370,3:25 PM,Jan 23,0,0,0,4.5,TOYS AND GAMES,PLAYBALLS,In-Aisle
622,1032770,410,4:56 PM,Nov 17,0,0,0,1.49,CRACKERS/MISC BKD FD,VENDING SIZE/SNGL SERVE CRACKE,Rear End Cap
718,12778374,324,6:45 PM,Dec 6,-0.69,0,0,1,ROLLS,ROLLS: BAGELS - LESS THAN 6,Front Aisle
725,893501,400,2:16 PM,Dec 11,-1.42,0,0,1.76,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,In-Aisle
718,845078,324,6:24 PM,Mar 31,-0.82,0,0,1.67,BAG SNACKS,BAGGED CHEESE SNACKS,In-Aisle
771,1108094,424,1:21 PM,Feb 16,0,0,0,23.98,BEERS/ALES,BEERALEMALT LIQUORS,Side-Aisle End Cap
731,6533619,445,4:16 PM,Dec 30,0,0,0,1,SPRING/SUMMER SEASONAL,MISC HOLIDAYS,Rear Aisle
797,945339,450,2:43 PM,Aug 11,0,0,0,12.99,DOMESTIC WINE,PREMIUM 750ML WINES,In-Aisle
761,932863,343,11:37 AM,Oct 28,-5.98,0,0,5.98,HOT DOGS,PREMIUM - MEAT,Front Aisle
680,15596705,424,7:38 PM,Nov 28,-3.02,0,0,2.77,COLD CEREAL,KIDS CEREAL,Rear End Cap
680,896369,424,4:22 PM,Dec 1,-0.79,0,0,1,PNT BTR/JELLY/JAMS,PEANUT BUTTER,Rear End Cap
661,1124729,427,11:11 PM,Jun 10,-0.3,0,0,0.3,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,In-Aisle
718,991303,324,7:42 PM,Sep 19,-0.4,0,0,4.59,HEAT/SERVE,ENTREES,Rear Aisle
706,8090532,384,8:31 PM,Jun 14,-4.18,0,0,5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,In-Aisle
788,12385342,313,11:20 AM,Jul 9,0,0,0,0.94,BAKING MIXES,LAYER CAKE MIX,Rear End Cap
771,9553031,322,12:40 PM,Sep 1,-0.19,0,0,0.5,SOUP,BROTH,In-Shelf
712,12132773,369,1:19 PM,Sep 7,0,0,0,2.99,PAPER TOWELS,PAPER TOWELS & HOLDERS,Mid-Aisle End Cap
740,914190,404,2:36 PM,Oct 3,-1.48,0,0,2.5,CHEESE,CREAM CHEESE,Side-Aisle End Cap
762,1014802,31862,4:11 PM,Nov 11,-0.54,0,0,1.25,CONVENIENT BRKFST/WHLSM SNACKS,TOASTER PASTRIES,Front End Cap
733,955288,356,3:53 PM,Apr 13,-1.99,0,0,1,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,Rear End Cap
706,1115175,343,5:21 PM,Jul 5,0,0,0,3.49,BAG SNACKS,TORTILLA/NACHO CHIPS,Side-Aisle End Cap
712,904129,448,10:33 AM,May 5,-2.97,0,0,6.02,MEAT - MISC,GRND/PATTY - FROZEN,Other Location Display
718,883404,324,5:37 PM,Sep 12,-0.41,0,0,0.88,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,In-Aisle
706,919948,384,5:58 PM,May 28,-1,0,0,1,FRZN NOVELTIES/WTR ICE,STICKS/ENROBED,Rear End Cap
696,851528,31742,5:49 PM,Aug 3,-1.15,0,0,2.99,DISHWASH DETERGENTS,AUTO DISH DETERGENT - GEL,Front End Cap
786,972665,339,8:34 AM,Jun 8,0,0,0,3.79,BREAKFAST SAUSAGE/SANDWICHES,OTHER,Rear Aisle
630,15926886,306,9:35 AM,Nov 18,0,0,0,2.5,BAG SNACKS,POTATO CHIPS,Side-Aisle End Cap
715,960942,389,11:08 AM,Apr 6,-5.07,0,0,3,CANNED JUICES,CRANBERRY JUICE (50% AND UNDER,Rear End Cap
715,857849,389,12:49 PM,Mar 12,-0.45,0,0,0.44,MARGARINES,MARGARINE  STICK,In-Aisle
706,9396772,384,4:48 PM,May 1,-0.29,0,0,1.5,CANDY - PACKAGED,CANDY BAGS-CHOCOCLATE,Front End Cap
718,883954,324,1:12 PM,Mar 13,-0.05,0,0,0.2,CANDY - CHECKLANE,CHEWING GUM,Front Aisle
715,8158003,354,5:52 PM,May 15,0,0,0,0.99,COOKIES/CONES,SPECIALTY COOKIES,Rear End Cap
718,999971,324,3:53 PM,May 15,-0.1,0,0,0.89,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,Other Location Display
725,1053763,400,1:08 PM,Jun 2,0,0,0,1.2,PWDR/CRYSTL DRNK MX,SOFT DRINK POWDER POUCHES,Front End Cap
718,10182813,324,11:07 AM,Jul 3,-0.98,0,0,2,FROZEN PIZZA,SANDWICHES&HANDHELDS,Rear End Cap
725,1098066,400,3:07 PM,Oct 30,-0.58,0,0,2,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,In-Aisle
718,1071939,327,5:07 PM,Sep 27,-0.1,0,0,1.09,CHEESE,CREAM CHEESE,In-Aisle
786,1127328,339,9:16 AM,Jul 7,-0.4,0,0,1.79,DRIED FRUIT,RAISINS,Other Location Display
605,1029743,369,8:14 PM,Nov 6,0,0,0,2.69,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,Other Location Display
631,1043035,380,1:38 PM,Nov 6,-0.8,0,0,2.76,SOFT DRINKS,MIXERS(CLUB SODA/SELTZERS)FLAV,Side-Aisle End Cap
718,859075,324,9:30 PM,Nov 6,-0.34,0,0,3.44,CHEESE,SHREDDED CHEESE,Other Location Display
733,892008,356,12:22 PM,Nov 27,0,0,0,1,MEAT - SHELF STABLE,PASTA: CANNED,Front End Cap
762,823721,391,8:58 PM,Apr 7,0,0,0,2.99,CHEESE,GRATED CHEESE,In-Aisle
605,943141,369,1:14 PM,Mar 7,0,0,0,0.89,SOFT DRINKS,MIXERS(TONIC WTR/CLUB SODA/GNG,In-Aisle
786,981760,339,9:58 AM,Jan 5,0,0,0,1.19,EGGS,EGGS - X-LARGE,Rear Aisle
718,8090537,324,8:16 PM,Apr 22,-4.18,0,0,5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,Rear Aisle
788,905539,318,5:36 PM,May 14,-3,0,0,2.97,DINNER SAUSAGE,SMOKED/COOKED,Other Location Display
725,999270,400,5:39 PM,Jul 3,-1.49,0,0,2.5,BACON,ECONOMY,In-Aisle
712,834117,31742,11:02 AM,Apr 21,-1,0,0,3.99,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,In-Aisle
712,1051989,448,10:35 AM,Apr 4,-0.49,0,0,2.5,DINNER SAUSAGE,SMOKED/COOKED,Rear Aisle
718,976621,324,5:00 PM,Aug 3,-0.05,0,0,0.74,VEGETABLES - SHELF STABLE,MIXED VEGETABLES,In-Shelf
715,981760,354,1:17 PM,Oct 19,-0.38,0,0,2,EGGS,EGGS - X-LARGE,Rear Aisle
766,1113274,333,5:43 PM,Aug 21,-3.95,0,0,5.5,PAPER TOWELS,PAPER TOWELS & HOLDERS,Front End Cap
718,892920,324,3:32 PM,Oct 11,-0.2,0,0,2.96,VEGETABLES - SHELF STABLE,CORN,In-Shelf
601,12385478,32004,6:07 PM,Aug 22,-0.99,0,0,2,POPCORN,POPCORN - MICROWAVE,Rear End Cap
786,823704,339,10:26 AM,Oct 12,-1.29,0,0,2.5,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,Rear Aisle
712,8291322,448,10:39 AM,Jul 1,-0.98,0,0,7,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,Other Location Display
731,971949,445,4:41 PM,Jul 18,-0.66,0,0,3.34,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,Front End Cap
771,1056746,359,10:43 AM,Feb 6,-0.59,0,0,1,MILK BY-PRODUCTS,COTTAGE CHEESE,Side-Aisle End Cap
753,920109,396,4:07 PM,Dec 11,-1.69,0,0,2.5,COLD CEREAL,ADULT CEREAL,Rear End Cap
779,893852,343,5:18 PM,Dec 31,0,0,0,9.99,IMPORTED WINE,AUSTRALIAN/NZ WINES,Side-Aisle End Cap
725,845868,400,5:16 PM,Apr 11,-1.99,0,0,1,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,Front End Cap
699,1026945,408,1:25 PM,Feb 19,0,0,0,3.49,SNACK NUTS,NUTS OTHER,Side-Aisle End Cap
788,12428216,360,5:40 PM,Jul 29,-1.1,0,0,1.99,REFRGRATD DOUGH PRODUCTS,REFRIGERATED COOKIES-SEASONAL,Rear Aisle
696,8160319,31742,2:23 PM,Oct 27,-0.25,0,0,0.34,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,Other Location Display
762,920002,31862,5:45 PM,Oct 31,-0.59,0,0,2,SOFT DRINKS,SOFT DRINKS 6PK/4PK CAN CARB (,In-Aisle
761,8090485,343,4:51 PM,Oct 31,0,0,0,19.99,BEERS/ALES,BEERALEMALT LIQUORS,Side-Aisle End Cap
