householdid,productid,cartid,storeid,transactiontime,daydate,salesvalue,productdesc,productsubdesc,qty,displayadtypedesc,loyaltydiscount,coupondiscount,couponmatchdiscount
712,8291322,29507190841,448,12:15 PM,Jul 6,3.5,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,1,Other Location Display,-0.49,0,0
731,971949,29773336586,445,4:41 PM,Jul 18,3.34,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,2,Front End Cap,-0.66,0,0
786,1106523,31687365234,339,9:17 AM,Nov 10,2.42,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,Front End Cap,-0.27,0,0
771,1056746,32932440325,359,10:43 AM,Feb 6,1,MILK BY-PRODUCTS,COTTAGE CHEESE,1,Side-Aisle End Cap,-0.59,0,0
753,920109,32064976188,396,4:07 PM,Dec 11,2.5,COLD CEREAL,ADULT CEREAL,1,Rear End Cap,-1.69,0,0
779,893852,32408302776,343,5:18 PM,Dec 31,9.99,IMPORTED WINE,AUSTRALIAN/NZ WINES,1,Side-Aisle End Cap,0,0,0
725,845868,33919592627,400,5:16 PM,Apr 11,1,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,1,Front End Cap,-1.99,0,0
699,1026945,33106610855,408,1:25 PM,Feb 19,3.49,SNACK NUTS,NUTS OTHER,1,Side-Aisle End Cap,0,0,0
771,840361,34057335473,359,11:26 AM,Apr 22,0.79,EGGS,EGGS - LARGE,1,Side-Aisle End Cap,-0.25,0,0
696,859075,34072855828,31742,1:33 PM,Apr 23,1.78,CHEESE,SHREDDED CHEESE,1,Other Location Display,0,0,0
768,1096036,40106775061,323,6:35 AM,Jul 7,1.19,CHEESE,IWS SINGLE CHEESE,1,In-Aisle,-0.63,0,0
771,840361,34133603008,359,11:46 PM,Apr 26,0.79,EGGS,EGGS - LARGE,1,Side-Aisle End Cap,-0.25,0,0
696,859075,34137046328,31742,3:31 PM,Apr 24,1.78,CHEESE,SHREDDED CHEESE,1,Other Location Display,0,0,0
733,8014645,40813480647,356,11:00 AM,Sep 2,2,REFRGRATD DOUGH PRODUCTS,MISC REFRIG DOUGH PRODUCTS,1,Rear Aisle,-0.69,0,0
699,1095374,41809416149,408,1:53 PM,Nov 7,2.99,HOT DOGS,PREMIUM - MEAT,2,Rear Aisle,-2.99,0,0
647,867668,41891790569,343,7:30 PM,Nov 13,1,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,Front End Cap,-1.29,0,0
786,937845,41904485322,448,10:53 AM,Nov 14,1,PASTA SAUCE,MAINSTREAM,1,Other Location Display,-0.15,0,0
718,859075,27686515126,324,7:13 AM,Mar 1,2.51,CHEESE,SHREDDED CHEESE,1,In-Aisle,-0.18,0,0
607,931532,28789685026,432,2:26 AM,May 24,0.59,SOFT DRINKS,SOFT DRINK BOTTLE NON-CARB (EX,1,Front Aisle,0,0,0
607,9527549,29019198186,432,8:32 PM,Jun 4,2.69,CONDIMENTS/SAUCES,MISC MEAT SAUCES,1,Front Aisle,-0.4,0,0
696,1126899,30202142826,31742,9:24 PM,Aug 14,2.49,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,Front End Cap,0,0,0
699,940107,30531035923,408,2:06 PM,Aug 21,5.99,MAGAZINE,FOOD-MAGAZINE,1,In-Aisle,0,0,0
706,859010,29673034310,343,4:43 PM,Jul 14,1.05,BAG SNACKS,TORTILLA/NACHO CHIPS,1,Other Location Display,0,0,0
766,981760,31254757231,333,4:03 PM,Oct 16,1,EGGS,EGGS - X-LARGE,1,In-Aisle,-0.19,0,0
715,1022872,33655476905,389,2:23 PM,Mar 23,2,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,6,Other Location Display,-1.57,0,0
715,1115874,33655476905,389,2:23 PM,Mar 23,1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,4,Front Aisle,-1.38,0,0
786,1107661,31747865264,339,9:02 AM,Nov 16,0.99,BAKED BREAD/BUNS/ROLLS,MAIN MEAL BREAD,1,In-Aisle,-0.3,0,0
731,881607,31770106832,438,4:08 PM,Nov 18,2.09,FROZEN PIE/DESSERTS,FROZEN CAKES/ALL TYPES INCLUDI,1,In-Aisle,-1.4,0,0
786,972665,32445975394,339,9:58 AM,Jan 5,3.59,BREAKFAST SAUSAGE/SANDWICHES,OTHER,1,Other Location Display,0,0,0
788,989069,32478801729,313,2:18 PM,Jan 6,5.98,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,4,Rear Aisle,-5.98,0,0
740,1039835,41366579813,404,8:24 PM,Oct 4,1.69,MEAT - SHELF STABLE,MISC CND MEATS,1,Front End Cap,0,0,0
718,825731,35386826227,324,3:11 PM,Jun 4,2,YOGURT,YOGURT MULTI-PACKS,1,In-Aisle,-0.79,0,0
630,987480,41931463761,329,4:36 PM,Nov 16,1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,5,In-Aisle,-1.98,0,0
692,849843,30930427110,335,4:33 PM,Sep 21,0.99,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,1,Side-Aisle End Cap,-0.3,0,0
696,1066725,29484070669,358,11:33 AM,Jul 3,1.2,FRUIT - SHELF STABLE,FRUIT BOWL AND CUPS,1,In-Shelf,-0.22,0,0
766,1105917,30995985472,333,9:52 AM,Sep 26,2,BUTTER,BUTTER,1,In-Aisle,-1.89,0,0
647,1084551,29485089571,343,5:49 PM,Jul 5,1,DINNER MXS:DRY,SKILLET DINNERS,1,In-Shelf,-1.59,0,0
607,974108,29507065392,372,9:08 PM,Jul 6,1,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,1,Front Aisle,-0.29,0,0
718,988791,31356350280,324,9:53 AM,Oct 23,1.5,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1,Front End Cap,-1.39,0,0
771,8014645,30700829804,359,11:41 PM,Sep 4,2,REFRGRATD DOUGH PRODUCTS,MISC REFRIG DOUGH PRODUCTS,1,In-Aisle,-0.69,0,0
786,940947,32672220194,339,8:53 AM,Jan 19,2.99,HEAT/SERVE,ENTREES,1,Other Location Display,0,0,0
631,987562,32895581786,389,3:02 PM,Feb 4,1.25,CHEESE,SHREDDED CHEESE,1,In-Aisle,-0.53,0,0
696,962671,32931566722,31742,5:49 PM,Feb 5,3.76,ICE CREAM/MILK/SHERBTS,TRADITIONAL,2,Front End Cap,-4.22,0,0
718,996750,33658441856,324,5:26 PM,Mar 28,1.8,FRZN NOVELTIES/WTR ICE,STICKS/ENROBED,1,Front End Cap,-0.2,0,0
788,873203,32957933416,313,6:31 PM,Feb 9,1.25,CHEESE,SHREDDED CHEESE,1,In-Aisle,-0.53,0,0
786,972665,32305435198,339,8:29 AM,Dec 30,3.59,BREAKFAST SAUSAGE/SANDWICHES,OTHER,1,Other Location Display,0,0,0
630,994928,33070797552,306,7:23 PM,Feb 16,1,EGGS,EGGS - MEDIUM,3,In-Aisle,-1.22,0,0
725,859075,33460950601,400,11:30 AM,Mar 18,1.67,CHEESE,SHREDDED CHEESE,1,Other Location Display,-0.11,0,0
764,10121965,34072812196,33923,9:35 PM,Apr 23,1.49,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1,Rear Aisle,0,0,0
696,987562,34137046328,31742,3:31 PM,Apr 24,1.78,CHEESE,SHREDDED CHEESE,1,Other Location Display,0,0,0
768,915390,40341866955,323,3:22 PM,Jul 27,2.49,FROZEN PIE/DESSERTS,FROZEN FRUIT PIES  & COBBLERS,1,Rear End Cap,-2.5,0,0
733,1106523,40813480647,356,11:00 AM,Sep 2,2.49,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,Other Location Display,0,0,0
786,878715,40877060212,339,8:53 AM,Sep 7,15.99,BEERS/ALES,BEERALEMALT LIQUORS,1,Other Location Display,0,0,0
761,996087,40014108299,343,3:43 PM,Jun 29,2.5,CRACKERS/MISC BKD FD,SNACK CRACKERS,1,Side-Aisle End Cap,-0.19,0,0
768,819255,40595567636,343,1:54 PM,Aug 15,2.5,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,1,In-Aisle,-0.99,0,0
647,925178,41891790569,343,7:30 PM,Nov 13,3.99,HOT DOGS,KOSHER/SPECIALTY,2,In-Aisle,-3.99,0,0
718,857849,27709642072,324,3:37 PM,Mar 3,0.59,MARGARINES,MARGARINE  STICK,1,Other Location Display,-0.3,0,0
696,1053672,28601336113,31742,2:49 PM,May 9,1.69,COOKIES/CONES,CHOCOLATE COVERED COOKIES,1,Rear Aisle,-0.3,0,0
788,5568721,28243215404,360,10:11 AM,Apr 15,1.67,BAG SNACKS,TORTILLA/NACHO CHIPS,1,Other Location Display,-1.62,0,0
680,1035800,31097681543,352,4:15 PM,Oct 4,1.19,DRIED FRUIT,RAISINS,1,Front Aisle,-0.4,0,0
630,837107,28886952337,306,6:55 PM,May 29,2.58,DRY SAUCES/GRAVY,SAUCE MIXES GRAVY MIXES DRY,2,In-Aisle,0,0,0
768,871909,28919674223,323,6:40 PM,May 31,1,LUNCHMEAT,POULTRY,1,Rear Aisle,-0.99,0,0
733,1049434,30174287575,356,4:34 PM,Aug 10,1.39,FACIAL TISS/DNR NAPKIN,FACIAL TISSUE & PAPER HANDKE,1,Side-Aisle End Cap,0,0,0
761,1123536,29157672753,343,1:55 PM,Jun 14,0.88,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,1,In-Aisle,-0.31,0,0
605,836635,31468031197,369,9:09 PM,Oct 29,2,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,2,Mid-Aisle End Cap,-0.67,0,0
718,973861,31804151811,324,5:06 PM,Nov 20,1.48,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,2,Other Location Display,-0.1,0,0
