Column1,householdid,productid,storeid,daydate,transactiontime,displayadtypedesc
134,607,874736,372,Mar 11,5:50 PM,Other Location Display
135,699,1050741,408,May 2,7:47 PM,In-Aisle
136,607,874736,372,Mar 15,10:37 PM,Other Location Display
137,786,889779,339,Oct 31,6:05 PM,Mid-Aisle End Cap
138,787,957736,389,Aug 14,10:18 AM,Side-Aisle End Cap
139,786,932424,315,Oct 12,6:58 PM,Other Location Display
140,725,857849,400,Jul 11,2:46 PM,Other Location Display
141,718,1114006,324,Sep 1,2:08 PM,Other Location Display
142,731,10285106,355,Sep 3,12:02 PM,Side-Aisle End Cap
143,631,7139529,389,Apr 4,2:22 PM,In-Shelf
144,718,1054262,324,Nov 6,9:30 PM,Rear End Cap
145,718,1030819,324,Dec 7,4:49 PM,Other Location Display
146,647,941741,343,Feb 4,7:47 PM,In-Aisle
147,797,1053690,450,Dec 10,4:57 PM,In-Aisle
148,706,5585636,421,Dec 26,7:29 PM,Rear Aisle
149,771,13511811,359,Sep 24,10:52 PM,Rear End Cap
150,771,929018,359,May 7,10:26 PM,Front Aisle
151,647,986727,343,Aug 22,2:58 PM,In-Aisle
152,725,826249,400,Jun 11,12:36 PM,In-Aisle
153,725,826249,400,May 7,6:50 PM,Other Location Display
154,718,893018,324,Apr 10,4:17 PM,Other Location Display
155,768,1114597,384,May 11,6:20 PM,Rear Aisle
156,718,1097001,324,Oct 17,6:01 PM,Side-Aisle End Cap
157,755,993171,388,May 28,5:33 PM,Side-Aisle End Cap
158,725,893018,400,Jul 4,2:26 PM,In-Aisle
159,731,858014,384,Feb 26,4:10 PM,In-Aisle
160,696,1124729,339,Jul 24,4:27 PM,In-Aisle
161,761,1113274,343,Dec 1,10:46 AM,Front End Cap
162,768,887691,323,Dec 4,9:20 PM,Front End Cap
163,630,994928,306,Mar 8,1:31 PM,In-Aisle
164,696,1035386,31742,Feb 4,9:55 PM,Rear End Cap
165,601,1048200,32004,Feb 12,5:42 PM,Front End Cap
166,718,962764,324,Feb 22,7:31 PM,Side-Aisle End Cap
167,661,975604,427,Jan 10,6:00 PM,Other Location Display
168,647,15596429,343,Aug 30,2:52 PM,In-Aisle
169,768,834117,323,Jul 30,3:22 PM,Rear Aisle
170,771,13842140,359,Jun 4,9:43 PM,Side-Aisle End Cap
171,764,897125,33923,Jun 6,3:57 PM,Other Location Display
172,696,841220,31742,Sep 4,9:47 AM,Rear Aisle
173,706,949965,384,Oct 10,7:09 PM,In-Aisle
174,718,929309,324,Oct 15,12:03 PM,In-Shelf
175,761,1004385,343,Nov 15,1:21 PM,Mid-Aisle End Cap
176,725,951526,400,May 6,6:23 PM,Front End Cap
177,718,931324,324,May 2,7:06 PM,Other Location Display
178,607,9655715,432,Apr 27,8:14 AM,Front Aisle
179,731,1018007,438,Apr 16,4:25 PM,Side-Aisle End Cap
180,607,6554588,432,May 25,9:51 PM,Front End Cap
181,607,897125,299,Nov 1,5:45 PM,In-Aisle
182,786,1133018,339,Jun 30,9:21 AM,Front End Cap
183,768,937413,323,Aug 26,6:37 AM,In-Shelf
184,630,996269,306,Sep 29,4:44 PM,Front End Cap
185,768,1128665,323,Jul 17,9:24 PM,Front Aisle
186,718,12731553,324,Oct 23,9:53 AM,Front Aisle
187,786,1133018,339,Sep 30,1:10 PM,Other Location Display
188,630,1105917,306,Sep 4,5:45 PM,In-Aisle
189,762,1097239,31862,Nov 11,4:11 PM,Front End Cap
190,606,826249,380,Mar 10,7:32 PM,In-Aisle
191,762,9854913,31862,Mar 11,7:33 AM,Side-Aisle End Cap
192,762,9854913,31862,Mar 12,8:41 AM,Side-Aisle End Cap
193,762,921744,31862,Mar 12,7:55 PM,Front End Cap
194,762,13672065,31862,Sep 3,7:38 PM,Front Aisle
195,631,1038217,389,Nov 11,3:18 PM,In-Shelf
196,779,1096343,343,Nov 13,1:22 PM,Front End Cap
197,712,1113415,448,Aug 12,12:51 PM,In-Shelf
198,788,1051069,313,Jan 15,12:36 PM,Front Aisle
199,696,1119546,31742,Nov 6,12:36 PM,Front End Cap
200,706,1042395,32004,Jan 18,11:29 AM,Front End Cap
201,725,1130858,400,Nov 20,2:45 PM,Rear Aisle
202,718,1029743,31782,Dec 11,7:19 PM,Front End Cap
203,622,981760,298,Dec 25,6:05 PM,Rear Aisle
204,718,13115548,324,Dec 25,5:34 PM,Front End Cap
205,762,879977,391,Mar 20,8:24 PM,In-Aisle
206,788,1051069,313,Jan 14,12:56 PM,Front Aisle
207,741,904997,367,May 7,10:27 PM,In-Aisle
208,725,844165,400,May 20,7:03 PM,In-Aisle
209,761,1029504,343,Jul 22,11:41 AM,In-Aisle
210,768,1046465,323,Aug 27,1:44 PM,Front End Cap
211,725,951526,400,Jun 11,12:36 PM,Front End Cap
212,696,983584,31742,Oct 24,6:15 PM,Front End Cap
213,696,889105,31742,Nov 27,11:18 AM,Rear Aisle
214,605,1097001,369,Nov 28,12:53 PM,Other Location Display
215,631,7139529,389,Apr 28,4:11 PM,In-Shelf
216,647,913785,384,Mar 4,4:15 PM,Front End Cap
217,647,5564526,384,Mar 4,4:15 PM,Rear End Cap
218,647,8090536,384,Mar 4,4:15 PM,In-Aisle
219,725,1050131,400,May 7,4:43 PM,Other Location Display
220,607,1013329,432,May 12,7:07 PM,Rear Aisle
221,755,911812,433,Oct 10,4:32 PM,Other Location Display
222,733,1029743,356,Jul 6,2:32 PM,Other Location Display
223,731,1057271,384,Feb 26,4:10 PM,Side-Aisle End Cap
224,680,9527290,424,Aug 30,3:43 PM,Other Location Display
225,605,1051402,369,Oct 1,7:56 PM,Other Location Display
226,718,910032,324,Dec 18,4:52 PM,Rear Aisle
227,762,9854913,31862,Mar 15,8:44 AM,Side-Aisle End Cap
228,725,1110764,400,Jan 8,1:58 PM,In-Aisle
229,706,7024844,343,Jul 9,8:51 PM,Front Aisle
230,725,883404,400,Apr 29,4:04 PM,In-Aisle
231,699,966684,408,Sep 12,1:15 PM,Rear End Cap
232,731,907994,355,May 18,8:15 PM,Front Aisle
233,768,1127624,323,Sep 17,6:48 AM,Front End Cap
234,753,15716050,396,Aug 31,6:51 PM,Front End Cap
235,787,849202,443,Aug 2,4:21 PM,Side-Aisle End Cap
236,762,7464370,31862,Jun 18,8:24 PM,Rear Aisle
237,771,923746,293,Jun 19,12:19 PM,Rear Aisle
238,680,823704,424,Aug 10,4:11 PM,Rear Aisle
239,606,17104273,380,Oct 12,6:58 PM,Rear End Cap
240,771,845196,424,Oct 15,12:30 PM,Rear End Cap
241,761,956902,343,Oct 18,12:36 PM,Front End Cap
242,614,844165,288,Oct 19,7:54 PM,Front Aisle
243,725,987562,400,Apr 12,10:36 AM,In-Aisle
244,788,920109,360,Aug 16,9:49 AM,Rear End Cap
245,712,1120443,448,Jul 1,10:39 AM,Front End Cap
246,788,1043590,313,Jul 16,10:54 AM,Other Location Display
247,725,1062782,400,Feb 26,11:26 AM,Rear End Cap
248,725,9527160,400,Feb 26,11:26 AM,Other Location Display
249,718,1135460,324,Apr 12,8:03 PM,Rear End Cap
250,797,1103629,450,Mar 7,11:52 AM,In-Aisle
251,740,9655212,404,Mar 12,9:14 PM,In-Shelf
252,725,949965,400,Apr 17,12:25 PM,Rear Aisle
253,716,13007284,400,Feb 10,8:43 AM,In-Aisle
254,680,13213121,424,Dec 30,5:23 PM,Front End Cap
255,696,1135222,448,Feb 19,8:55 PM,Rear End Cap
256,718,1130458,324,Sep 10,5:15 PM,Rear End Cap
257,622,878715,356,May 25,11:33 AM,Other Location Display
258,788,1053690,360,May 25,6:34 PM,In-Aisle
259,706,8160319,343,May 25,1:58 PM,Rear End Cap
260,771,868764,359,May 27,2:29 PM,Side-Aisle End Cap
261,725,826249,400,Aug 7,2:25 PM,Other Location Display
262,764,1092045,33923,Nov 11,7:47 PM,Rear End Cap
263,768,9553397,323,Apr 20,10:51 PM,Rear End Cap
264,768,1128665,323,Jul 30,6:13 AM,Front Aisle
265,607,857849,372,May 17,10:18 PM,Other Location Display
266,725,977545,400,May 18,4:34 PM,Rear End Cap
267,601,1014948,306,Aug 12,4:40 PM,In-Aisle
268,696,7139529,31742,Nov 2,2:51 PM,In-Aisle
269,768,9526628,323,Nov 5,4:53 PM,Other Location Display
270,706,1029743,32004,Jan 18,11:29 AM,Other Location Display
271,768,821976,323,Jan 27,9:19 PM,Front End Cap
272,647,1100658,343,Feb 4,7:47 PM,Rear Aisle
273,779,8177622,343,Feb 23,12:24 PM,In-Aisle
274,706,8160319,343,May 21,4:26 PM,Rear End Cap
275,696,1133254,31742,Jun 26,3:38 PM,Rear Aisle
276,788,1065593,360,Aug 13,7:31 AM,Rear End Cap
277,725,876232,400,Aug 13,4:34 PM,Rear End Cap
278,630,981521,329,Oct 22,3:55 PM,Rear End Cap
279,631,1043035,389,Dec 3,2:33 PM,Other Location Display
280,718,981760,324,Dec 6,10:54 PM,In-Aisle
281,718,1087755,324,Apr 17,4:41 PM,Front End Cap
282,768,1111072,323,May 31,6:40 PM,In-Aisle
283,768,951213,323,Sep 20,5:24 PM,Rear End Cap
284,692,952981,335,Oct 11,4:36 PM,Front End Cap
285,787,9677934,443,Jul 2,7:11 PM,Mid-Aisle End Cap
286,788,1119550,313,Jul 5,1:58 PM,Front Aisle
287,761,12188584,343,Jul 24,12:58 PM,Rear End Cap
288,699,893018,408,Mar 28,7:18 PM,In-Aisle
289,699,1040371,408,Mar 15,10:29 AM,In-Aisle
290,680,951590,424,Apr 2,6:02 PM,In-Shelf
291,797,9420286,450,Feb 21,8:42 PM,In-Aisle
292,797,882829,450,Jan 7,2:04 PM,In-Aisle
293,764,967760,33923,Apr 20,9:14 PM,Rear End Cap
294,786,841220,339,Feb 23,8:59 AM,Rear Aisle
295,712,826249,369,Aug 20,2:25 PM,Front End Cap
296,718,856335,324,Jun 4,3:11 PM,Rear End Cap
297,718,921744,324,Jun 17,5:45 PM,Side-Aisle End Cap
298,771,1131977,359,Aug 8,9:11 PM,In-Aisle
299,741,919534,315,Sep 3,12:52 PM,Side-Aisle End Cap
300,779,890695,343,Oct 16,7:14 PM,Rear End Cap
301,622,1106523,356,Oct 17,6:46 PM,Front End Cap
302,761,883404,343,Oct 18,12:36 PM,Front Aisle
303,715,905340,415,Nov 17,10:39 AM,Rear End Cap
304,779,930666,343,Nov 18,11:32 AM,In-Aisle
305,740,5587938,404,Nov 22,5:10 PM,Front End Cap
306,605,15596705,339,Nov 23,6:08 PM,Rear End Cap
307,786,989069,339,Apr 18,7:06 PM,Rear Aisle
308,607,960942,372,Apr 4,6:10 PM,Front Aisle
309,696,7410342,31742,Jun 25,3:24 PM,Front End Cap
310,718,1131974,324,Sep 2,6:27 PM,In-Aisle
311,764,13190340,33923,Jan 17,9:22 AM,In-Aisle
312,768,845705,323,Mar 25,6:28 AM,In-Aisle
313,718,965378,324,Nov 19,12:15 PM,Other Location Display
314,788,994928,360,Mar 4,6:35 PM,Rear Aisle
315,788,1095700,360,Mar 4,6:35 PM,Rear Aisle
316,725,892008,400,Mar 5,11:49 AM,Other Location Display
317,696,849843,31742,Apr 8,6:09 PM,In-Aisle
318,725,883404,400,Feb 5,2:08 PM,Side-Aisle End Cap
319,718,859075,324,Feb 5,5:51 PM,Other Location Display
320,712,12132685,448,Feb 7,12:36 PM,In-Aisle
321,696,1131550,31742,Jul 13,8:55 PM,Other Location Display
322,706,6703892,343,Aug 27,2:48 PM,Front Aisle
323,718,15596515,324,May 24,6:42 PM,Front End Cap
324,614,15926885,288,Sep 26,1:52 PM,Front End Cap
325,630,923673,306,Aug 3,12:03 PM,Front End Cap
326,764,954351,33923,Aug 12,3:33 PM,Rear Aisle
327,699,893118,408,Dec 6,9:08 AM,In-Aisle
328,631,985160,389,Feb 25,4:40 PM,Rear Aisle
329,725,1098066,400,May 7,6:50 PM,Other Location Display
330,731,9527160,329,May 28,3:42 PM,Front Aisle
331,766,8090532,322,Jun 16,1:18 PM,Rear Aisle
332,696,12604354,31742,Sep 26,11:36 AM,Rear End Cap
333,718,950894,324,Jul 23,10:51 AM,Rear Aisle
334,718,1003616,324,Jan 22,4:54 PM,In-Aisle
335,771,849100,359,Nov 15,1:40 PM,Rear End Cap
336,699,902167,408,Dec 4,1:40 PM,Front End Cap
337,696,882830,31742,Feb 11,3:34 PM,Rear End Cap
338,699,5569845,408,Apr 10,8:26 PM,In-Aisle
339,761,1068719,343,Aug 25,12:02 PM,Rear End Cap
340,768,839753,323,Jun 1,2:17 PM,Rear End Cap
341,696,1126899,31742,Oct 5,2:30 PM,Front End Cap
342,786,989069,339,Sep 27,8:30 AM,Rear Aisle
343,607,990335,432,May 9,9:18 PM,Rear End Cap
344,696,1101980,31742,Apr 27,1:11 AM,Front End Cap
345,715,1033615,354,Apr 26,12:12 PM,Other Location Display
346,766,8090532,322,Jun 10,5:25 PM,Rear Aisle
347,718,9858748,324,Oct 23,9:53 AM,Front Aisle
348,718,883404,324,Jul 20,5:08 PM,Other Location Display
349,786,1022956,339,Jan 19,8:53 AM,Mid-Aisle End Cap
350,605,893018,369,Apr 7,11:04 AM,Rear Aisle
351,718,859075,324,Feb 8,2:04 PM,Other Location Display
352,731,13007600,445,Dec 30,4:16 PM,In-Aisle
353,647,834117,343,Mar 16,12:19 PM,Side-Aisle End Cap
354,725,871756,400,Mar 18,11:30 AM,Front End Cap
355,718,917384,324,Jul 6,1:03 PM,Rear End Cap
356,718,840601,324,Sep 10,5:15 PM,In-Aisle
357,647,7409874,343,Apr 27,12:45 PM,In-Aisle
358,761,923673,343,Jul 16,12:12 PM,Front End Cap
359,761,919534,343,Oct 2,11:39 AM,In-Aisle
360,761,5568378,343,Oct 2,11:39 AM,In-Aisle
361,696,1126899,31742,Oct 3,10:33 PM,Front End Cap
362,733,843306,356,Sep 2,11:00 AM,In-Shelf
363,718,1038217,324,Jun 30,12:10 PM,Front End Cap
364,696,1126899,31742,Sep 30,4:25 PM,Front End Cap
365,699,12302114,408,Sep 30,8:34 AM,Side-Aisle End Cap
366,768,914190,323,Sep 30,9:08 AM,Other Location Display
367,764,1104414,33923,Sep 9,3:08 PM,Rear Aisle
368,661,937292,330,Sep 9,9:18 AM,Rear Aisle
369,631,5585635,389,Nov 3,12:48 PM,In-Aisle
370,740,1136361,404,Nov 4,4:52 PM,Rear End Cap
371,768,970119,339,Nov 5,12:19 PM,Rear Aisle
372,764,17215097,33923,Nov 11,7:47 PM,Rear End Cap
373,764,856252,33923,Nov 13,4:06 PM,Front End Cap
374,630,923746,306,Apr 18,3:38 PM,In-Aisle
375,718,960942,324,Apr 3,3:38 PM,In-Shelf
376,718,9526619,324,Apr 3,3:38 PM,In-Aisle
377,718,857849,324,Mar 12,11:03 AM,Other Location Display
378,718,857849,324,Mar 13,1:42 PM,Other Location Display
379,718,857849,324,Mar 15,6:35 PM,Other Location Display
380,788,1112754,360,Sep 12,2:13 PM,Front End Cap
381,712,951590,448,Aug 20,10:48 AM,Other Location Display
382,692,9836526,335,Aug 20,2:18 PM,Rear Aisle
383,761,951190,343,Oct 11,6:38 PM,Rear End Cap
384,630,823704,306,Sep 1,8:28 PM,Rear Aisle
385,761,866102,445,Feb 27,12:05 PM,Other Location Display
386,786,972665,339,Jan 25,8:07 AM,Other Location Display
387,607,1042438,375,Nov 21,7:17 PM,Rear End Cap
388,740,960732,370,Nov 23,4:30 PM,Rear End Cap
389,725,1014860,400,Feb 5,2:08 PM,Rear Aisle
390,753,12386079,396,Dec 11,4:07 PM,Rear End Cap
391,725,892008,400,Feb 15,2:56 PM,In-Shelf
392,630,981760,306,May 3,4:26 PM,In-Aisle
393,605,1058997,369,Jul 13,1:56 PM,Other Location Display
394,605,5591538,369,Sep 12,4:29 PM,In-Aisle
395,647,887618,343,Aug 22,2:58 PM,Rear End Cap
396,725,5568378,400,Sep 18,9:18 AM,Side-Aisle End Cap
397,605,7441558,369,Oct 29,1:23 PM,Other Location Display
398,680,952972,424,Nov 28,7:38 PM,Front End Cap
399,696,1087605,31742,Dec 3,7:29 PM,In-Aisle
400,661,5569230,427,Dec 6,3:13 PM,Front End Cap
401,718,1010440,324,Mar 27,1:22 PM,Rear End Cap
402,768,820321,384,May 11,6:20 PM,In-Aisle
403,647,1128299,343,Aug 8,6:36 PM,In-Shelf
404,725,940726,400,Jul 4,2:26 PM,Rear Aisle
405,661,954086,427,Jul 7,10:44 PM,Rear End Cap
406,630,981760,306,Apr 28,11:10 AM,In-Aisle
407,771,890610,293,Apr 30,9:29 AM,Front Aisle
408,741,839419,315,Jun 1,3:28 PM,Other Location Display
409,712,15926886,448,Sep 27,10:27 AM,Other Location Display
410,696,1098066,31742,Jun 19,6:17 PM,In-Aisle
411,706,1049897,384,Oct 10,7:09 PM,In-Aisle
412,696,1003188,31742,Oct 13,5:58 PM,Other Location Display
413,761,960791,343,Oct 18,12:36 PM,Front End Cap
414,786,972665,339,Nov 16,9:09 AM,Other Location Display
415,788,1022003,360,Nov 17,11:57 AM,Front End Cap
416,788,1022003,360,Nov 23,8:35 PM,Front End Cap
417,630,833025,306,Apr 5,12:39 PM,In-Shelf
418,725,1135573,400,May 8,12:41 PM,Other Location Display
419,722,10204279,359,May 20,4:20 PM,Front Aisle
420,771,1050229,352,Sep 14,11:45 AM,Rear End Cap
421,755,921744,388,Jun 13,2:32 PM,Other Location Display
422,768,1118533,323,Jun 29,10:52 PM,In-Aisle
423,725,883404,400,Feb 26,11:26 AM,In-Aisle
424,764,989411,33923,Apr 16,9:07 PM,Front End Cap
425,601,8090532,32004,Mar 27,5:55 PM,Front Aisle
426,741,842140,315,Nov 30,4:30 PM,Side-Aisle End Cap
427,786,1106523,339,Feb 9,9:34 AM,Front End Cap
428,740,971949,404,Feb 9,1:37 PM,Front Aisle
429,712,1109832,448,Dec 17,12:45 PM,Rear Aisle
430,764,941361,33923,Apr 23,9:35 PM,Other Location Display
431,766,981760,333,Apr 26,3:50 PM,In-Aisle
432,753,5569230,367,May 15,11:13 PM,Other Location Display
433,797,1054262,450,Aug 5,3:41 PM,In-Aisle
434,712,901397,448,Nov 7,11:36 AM,Rear End Cap
435,786,972665,339,Nov 10,4:36 PM,Other Location Display
436,607,883404,372,Jul 9,5:23 PM,In-Aisle
437,786,981760,339,Jan 25,8:07 AM,Rear Aisle
438,647,8090536,343,Mar 4,10:00 PM,In-Aisle
439,718,994928,324,Mar 5,1:25 PM,Rear Aisle
440,718,1098066,324,Mar 5,1:25 PM,In-Aisle
441,601,6553452,306,Dec 27,2:41 PM,Side-Aisle End Cap
442,762,1054262,31862,Apr 21,12:50 PM,Rear End Cap
443,696,5569327,31742,Apr 21,11:45 AM,Other Location Display
444,630,1066289,306,May 3,4:26 PM,Front End Cap
445,622,895680,298,Sep 13,6:59 PM,Front End Cap
446,788,1071342,360,May 20,3:36 PM,Front End Cap
447,771,957089,424,Jul 22,12:21 PM,Front End Cap
448,696,1003188,31742,Aug 3,5:49 PM,Front End Cap
449,725,896369,400,Sep 18,9:18 AM,Other Location Display
450,699,922663,408,Sep 2,1:20 PM,Other Location Display
451,647,9416729,343,Oct 7,6:28 PM,In-Aisle
452,741,962671,315,Oct 26,4:16 PM,Front End Cap
453,779,937292,343,Oct 26,11:50 AM,In-Aisle
454,733,1022003,356,Dec 4,7:05 PM,Rear End Cap
455,718,859075,324,Mar 1,7:13 AM,In-Aisle
456,647,5564906,384,Mar 4,4:15 PM,Rear End Cap
457,788,8090537,360,Mar 5,9:54 AM,In-Aisle
458,718,1065380,324,Aug 17,4:36 PM,In-Aisle
459,699,1125391,408,Feb 26,4:08 PM,Front End Cap
460,768,1098066,323,Jun 18,6:26 AM,Other Location Display
461,712,981760,448,Sep 26,9:46 AM,Rear Aisle
462,797,1029743,450,Aug 27,4:42 PM,Other Location Display
