,householdid,productid,weeknum,salesvalue,productdesc,productsubdesc,qty,cartid,storeid,daynum,transactiontime,displayadtypedesc,loyaltydiscount,coupondiscount,couponmatchdiscount
47,607,9837074,37,0.34,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,30768538535,372,251,1839,Front Aisle,0.0,0.0,0.0
48,661,1138292,47,3.73,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,1,31769631722,427,321,1617,Other Location Display,-0.42,0.0,0.0
49,761,1106523,57,3.34,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2,32848845308,343,395,2130,Front End Cap,-2.04,0.0,0.0
50,768,9526410,68,2.0,BAG SNACKS,POTATO CHIPS,1,34009852506,323,472,1623,In-Aisle,0.0,0.0,0.0
51,761,862732,71,0.88,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,34338781615,343,494,2242,In-Aisle,-0.71,0.0,0.0
52,725,13190673,85,0.66,CANDY - PACKAGED,CANDY BARS (SINGLES)(INCLUDING,2,40565656840,400,589,1634,Front Aisle,0.0,0.0,0.0
53,706,985893,96,1.99,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,41666236358,343,664,1948,Front Aisle,0.0,0.0,0.0
54,630,833025,14,1.0,MILK BY-PRODUCTS,SOUR CREAMS,1,28106475932,306,94,1239,In-Shelf,-0.79,0.0,0.0
55,718,857849,11,0.88,MARGARINES,MARGARINE  STICK,2,27817365496,324,70,1103,Other Location Display,-0.9,0.0,0.0
56,718,1010440,13,5.0,FROZEN PIZZA,SANDWICHES&HANDHELDS,3,27997630983,324,85,1322,Rear End Cap,-1.0,0.0,0.0
57,768,820321,19,2.79,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,1,28629095197,384,130,1820,In-Aisle,-2.2,0.0,0.0
58,722,10204279,21,3.79,SOAP - LIQUID & BAR,LIQUID SOAP,1,28771581410,359,139,1620,Front Aisle,0.0,0.0,0.0
59,771,1050229,37,0.6,SOUP,CONDENSED SOUP,1,30822950461,352,256,1145,Rear End Cap,-0.06,0.0,0.0
60,755,921744,24,1.05,BAG SNACKS,TORTILLA/NACHO CHIPS,1,29141716727,388,163,1432,Other Location Display,0.0,0.0,0.0
61,725,940726,27,1.0,LUNCHMEAT,MISCELLANEOUS,1,29471261408,400,184,1426,Rear Aisle,-1.29,0.0,0.0
62,661,954086,27,2.49,COLD CEREAL,KIDS CEREAL,1,29507553801,427,187,2244,Rear End Cap,0.0,0.0,0.0
63,725,883404,61,1.98,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,2,33192450595,400,421,1126,In-Aisle,-0.6,0.0,0.0
64,764,989411,68,4.5,FROZEN PIZZA,PIZZA/PREMIUM,1,33983157019,33923,470,2107,Front End Cap,-0.98,0.0,0.0
65,786,972665,56,3.59,BREAKFAST SAUSAGE/SANDWICHES,OTHER,1,32759940153,339,389,0807,Other Location Display,0.0,0.0,0.0
66,607,1042438,47,2.0,COOKIES/CONES,SANDWICH COOKIES,1,31818734036,375,324,1917,Rear End Cap,-0.68,0.0,0.0
67,740,960732,47,2.5,COLD CEREAL,ALL FAMILY CEREAL,1,31833788150,370,326,1630,Rear End Cap,-1.49,0.0,0.0
68,725,1014860,58,0.77,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,32931921346,400,400,1408,Rear Aisle,-0.62,0.0,0.0
69,753,12386079,50,13.99,PAPER TOWELS,PAPER TOWELS & HOLDERS,1,32064976188,396,344,1607,Rear End Cap,-3.0,0.0,0.0
70,725,892008,59,2.0,MEAT - SHELF STABLE,PASTA: CANNED,2,33041772159,400,410,1456,In-Shelf,0.0,0.0,0.0
71,630,981760,70,0.79,EGGS,EGGS - X-LARGE,1,34204846985,306,487,1626,In-Aisle,-0.3,0.0,0.0
72,605,1058997,80,1.5,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,40186788767,369,558,1356,Other Location Display,-0.35,0.0,0.0
73,605,5591538,89,1.25,BAKED SWEET GOODS,SWEET GOODS - FULL SIZE,1,40941764786,369,619,1629,In-Aisle,-0.44,0.0,0.0
74,647,887618,86,1.39,BAKING MIXES,FROSTING,1,40680303391,343,598,1458,Rear End Cap,-0.8,0.0,0.0
75,741,839419,74,5.99,MEAT - MISC,BREAST - BONELESS(IQF),1,35218831343,315,516,1528,Other Location Display,-3.0,0.0,0.0
76,712,15926886,91,2.5,BAG SNACKS,POTATO CHIPS,1,41259670403,448,634,1027,Other Location Display,0.0,0.0,0.0
77,696,1098066,77,0.99,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,1,35840631867,31742,534,1817,In-Aisle,-0.3,0.0,0.0
78,706,1049897,93,0.88,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,1,41439899296,384,647,1909,In-Aisle,-0.51,0.0,0.0
79,696,1003188,94,6.36,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,4,41466466969,31742,650,1758,Other Location Display,0.0,0.0,0.0
80,761,960791,94,3.76,CANNED JUICES,CRANAPPLE CRAN GRAPE JUICE (5,2,41545522095,343,655,1236,Front End Cap,-4.02,0.0,0.0
81,786,972665,98,3.79,BREAKFAST SAUSAGE/SANDWICHES,OTHER,1,41931450165,339,684,0909,Other Location Display,0.0,0.0,0.0
82,788,1022003,99,6.6,SOUP,CONDENSED SOUP,10,41944840425,360,685,1157,Front End Cap,0.0,0.0,0.0
83,788,1022003,99,5.94,SOUP,CONDENSED SOUP,9,42030967197,360,691,2035,Front End Cap,0.0,0.0,0.0
84,718,857849,11,0.88,MARGARINES,MARGARINE  STICK,2,27829376147,324,71,1342,Other Location Display,-0.9,0.0,0.0
85,718,857849,11,0.88,MARGARINES,MARGARINE  STICK,2,27853442317,324,73,1835,Other Location Display,-0.9,0.0,0.0
86,725,1135573,19,2.5,BAG SNACKS,TORTILLA/NACHO CHIPS,1,28601135946,400,127,1241,Other Location Display,-0.49,0.0,0.0
87,788,1112754,37,2.09,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,30818911014,360,254,1413,Front End Cap,0.0,0.0,0.0
88,647,1128299,32,1.29,SOUP,BOUILLON,1,30130254705,343,219,1836,In-Shelf,-0.1,0.0,0.0
89,768,1118533,26,1.18,MARGARINES,MARGARINE: TUBS AND BOWLS,1,29353254495,323,179,2252,In-Aisle,-0.26,0.0,0.0
90,761,866102,61,5.99,MEAT - MISC,MEAT SNACKS,1,33204030600,445,422,1205,Other Location Display,0.0,0.0,0.0
91,601,8090532,65,4.59,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,33657341829,32004,450,1755,Front Aisle,0.0,0.0,0.0
92,741,842140,48,1.67,CHEESE,SHREDDED CHEESE,1,31932276441,315,333,1630,Side-Aisle End Cap,-1.12,0.0,0.0
93,786,1106523,58,2.69,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,32957780257,339,404,0934,Front End Cap,0.0,0.0,0.0
94,740,971949,58,1.67,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,1,32957836130,404,404,1337,Front Aisle,-0.18,0.0,0.0
95,712,1109832,51,4.0,COOKIES,COOKIES: REGULAR,2,32137540670,448,350,1245,Rear Aisle,-1.98,0.0,0.0
96,764,941361,69,4.99,MELONS,WATERMELON SEEDLESS WHOLE,1,34072812196,33923,477,2135,Other Location Display,0.0,0.0,0.0
97,766,981760,69,0.79,EGGS,EGGS - X-LARGE,1,34104237609,333,480,1550,In-Aisle,-0.35,0.0,0.0
98,630,981760,70,0.79,EGGS,EGGS - X-LARGE,1,34141900470,306,482,1110,In-Aisle,-0.3,0.0,0.0
99,771,890610,70,1.0,BREAKFAST SWEETS,SW GDS: SW ROLLS/DAN,1,34178480151,293,484,0929,Front Aisle,-1.29,0.0,0.0
100,725,5568378,90,1.88,BAG SNACKS,TORTILLA/NACHO CHIPS,1,41109715197,400,625,0918,Side-Aisle End Cap,-0.87,0.0,0.0
101,797,1054262,84,1.5,COLD CEREAL,KIDS CEREAL,1,40472536389,450,581,1541,In-Aisle,-0.64,0.0,0.0
102,712,901397,97,4.99,LAUNDRY ADDITIVES,FABRIC SOFTENER LIQUID,1,41809575455,448,675,1136,Rear End Cap,-1.0,0.0,0.0
103,786,972665,98,3.79,BREAKFAST SAUSAGE/SANDWICHES,OTHER,1,41847796382,339,678,1636,Other Location Display,0.0,0.0,0.0
104,680,952972,100,5.0,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,2,42090633195,424,696,1938,Front End Cap,-2.38,0.0,0.0
105,696,1087605,101,3.49,CONVENIENT BRKFST/WHLSM SNACKS,CEREAL BARS,1,42158816955,31742,701,1929,In-Aisle,0.0,0.0,0.0
106,661,5569230,101,3.0,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,42198351791,427,704,1513,Front End Cap,-1.69,0.0,0.0
107,630,923746,16,1.45,EGGS,EGGS - LARGE,1,28271156628,306,107,1538,In-Aisle,-0.14,0.0,0.0
108,718,960942,14,1.0,CANNED JUICES,CRANBERRY JUICE (50% AND UNDER,1,28081501506,324,92,1538,In-Shelf,-1.69,0.0,0.0
109,718,9526619,14,0.88,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,28081501506,324,92,1538,In-Aisle,-0.71,0.0,0.0
110,712,951590,34,1.29,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,30530610388,448,231,1048,Other Location Display,-0.4,0.0,0.0
111,692,9836526,34,2.99,LUNCHMEAT,POULTRY,2,30530696259,335,231,1418,Rear Aisle,-2.99,0.0,0.0
112,761,951190,41,1.99,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,1,31185095801,343,283,1838,Rear End Cap,-0.13,0.0,0.0
113,630,823704,35,2.5,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,1,30662683547,306,243,2028,Rear Aisle,-1.29,0.0,0.0
114,753,5569230,72,4.0,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,34577356964,367,499,2313,Other Location Display,-0.69,0.0,0.0
115,605,7441558,96,0.6,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,41692012958,369,666,1323,Other Location Display,0.0,0.0,0.0
116,718,893018,15,2.79,CHEESE,IWS SINGLE CHEESE,1,28167946562,324,99,1617,Other Location Display,-0.2,0.0,0.0
117,607,874736,11,0.59,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,27798189091,372,69,1750,Other Location Display,-0.4,0.0,0.0
118,768,1114597,19,0.77,REFRGRATD JUICES/DRNKS,DAIRY CASE JUICE DRNK UNDER 10,1,28629095197,384,130,1820,Rear Aisle,-0.82,0.0,0.0
119,718,1097001,42,3.0,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,1,31269222388,324,289,1801,Side-Aisle End Cap,-0.99,0.0,0.0
120,788,985893,42,2.09,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,31281055364,360,290,1113,Other Location Display,0.0,0.0,0.0
121,740,1065129,21,2.99,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,1,28789962294,370,143,1506,Other Location Display,-0.5,0.0,0.0
122,766,931671,21,0.98,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,1,28790005769,322,143,1416,Front End Cap,-0.31,0.0,0.0
123,712,1066252,38,2.0,CRACKERS/MISC BKD FD,SNACK CRACKERS,1,30906881182,448,261,1254,In-Aisle,-0.79,0.0,0.0
124,725,893018,27,2.0,CHEESE,IWS SINGLE CHEESE,1,29471261408,400,184,1426,In-Aisle,-0.99,0.0,0.0
125,731,858014,61,15.98,SINUS AND ALLERGY,SINUS AND ALLERGY,2,33192302006,384,421,1610,In-Aisle,-11.96,0.0,0.0
126,766,1066462,36,0.88,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,30686704817,333,245,2006,Front Aisle,-0.51,0.0,0.0
127,718,1030819,49,2.22,VEGETABLES - SHELF STABLE,PEAS GREEN,3,32007132274,324,340,1649,Other Location Display,-0.15,0.0,0.0
128,647,941741,58,1.0,BAKED SWEET GOODS,SNACK CAKE - MULTI PACK,1,32895619731,343,399,1947,In-Aisle,-0.22,0.0,0.0
129,797,1053690,50,0.88,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,32053121684,450,343,1657,In-Aisle,-0.71,0.0,0.0
130,706,5585636,52,0.39,YOGURT,YOGURT NOT MULTI-PACKS,1,32258788410,421,359,1929,Rear Aisle,0.0,0.0,0.0
131,771,13511811,91,3.0,FROZEN PIZZA,SNACKS/APPETIZERS,1,41225502788,359,631,2252,Rear End Cap,-1.99,0.0,0.0
132,771,929018,71,2.69,BACON,PRE-COOKED,1,34292037522,359,491,2226,Front Aisle,0.0,0.0,0.0
133,647,986727,86,5.99,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,1,40680303391,343,598,1458,In-Aisle,-2.2,0.0,0.0
134,647,15596429,87,1.0,CANDY - PACKAGED,CANDY BARS (MULTI PACK),1,40765964036,343,606,1452,In-Aisle,-0.49,0.0,0.0
135,768,834117,83,3.99,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,1,40399781807,323,575,1522,Rear Aisle,0.0,0.0,0.0
136,771,13842140,75,1.5,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,1,35386657523,359,519,2143,Side-Aisle End Cap,-0.69,0.0,0.0
137,764,897125,75,2.0,CHEESE,GRATED CHEESE,1,35463191379,33923,521,1557,Other Location Display,-0.38,0.0,0.0
138,696,841220,88,5.0,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,2,40840810512,31742,611,0947,Rear Aisle,-2.58,0.0,0.0
139,706,949965,93,3.99,DINNER SAUSAGE,SMOKED/COOKED,2,41439899296,384,647,1909,In-Aisle,-3.99,0.0,0.0
140,718,929309,94,1.25,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,1,41506355551,324,652,1203,In-Shelf,0.0,0.0,0.0
141,761,1004385,98,1.88,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1,41918202790,343,683,1321,Mid-Aisle End Cap,-1.08,0.0,0.0
142,699,1050741,18,5.99,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,1,28512032232,408,121,1947,In-Aisle,-2.0,0.0,0.0
143,607,874736,11,0.59,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,27852989918,372,73,2237,Other Location Display,-0.4,0.0,0.0
144,607,874736,11,0.59,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,27870894732,372,75,1901,Other Location Display,-0.4,0.0,0.0
145,786,889779,44,1.0,FRZN MEAT/MEAT DINNERS,SS ECONOMY ENTREES/DINNERS ALL,1,31490642189,339,303,1805,Mid-Aisle End Cap,0.0,0.0,0.0
146,755,993171,22,2.5,SNKS/CKYS/CRKR/CNDY,BARS - GRANOLA/SNACK,1,28867832368,388,147,1733,Side-Aisle End Cap,-0.49,0.0,0.0
147,647,1037340,41,0.88,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,31198427156,343,284,1831,Rear Aisle,-0.71,0.0,0.0
148,712,987624,34,2.99,COOKIES/CONES,PREMIUM COOKIES (EX: PEPPERIDG,1,30579492087,369,236,1201,In-Aisle,0.0,0.0,0.0
149,631,7139529,66,6.0,CONDIMENTS/SAUCES,BBQ SAUCE,2,33770166870,389,458,1422,In-Shelf,-0.78,0.0,0.0
150,718,1054262,45,2.0,COLD CEREAL,KIDS CEREAL,1,31623987726,324,309,2130,Rear End Cap,-0.59,0.0,0.0
151,607,994928,48,1.34,EGGS,EGGS - MEDIUM,4,31944572878,432,334,2111,Rear Aisle,-2.14,0.0,0.0
152,712,7139529,63,3.0,CONDIMENTS/SAUCES,BBQ SAUCE,1,33409565478,448,436,1102,Other Location Display,-0.39,0.0,0.0
153,725,883404,68,0.88,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,33994540818,400,471,1225,In-Aisle,-0.41,0.0,0.0
154,716,883404,68,0.88,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,33971305904,400,469,1144,In-Aisle,-0.41,0.0,0.0
155,771,896804,59,3.5,FILM AND CAMERA PRODUCTS,SINGLE USE CAMERAS,1,33070706419,424,411,1321,Front End Cap,-1.49,0.0,0.0
156,725,826249,76,0.88,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,1,35598355795,400,526,1236,In-Aisle,-0.41,0.0,0.0
157,771,846114,88,1.79,DINNER MXS:DRY,STUFFING MIXES,1,40813490512,293,609,1134,In-Aisle,-0.5,0.0,0.0
158,768,916190,85,0.99,AIR CARE,AIR CARE - AEROSOLS,1,40595567636,343,591,1354,Front End Cap,-0.3,0.0,0.0
159,725,826249,19,0.99,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,1,28572027686,400,126,1850,Other Location Display,0.0,0.0,0.0
160,787,957736,33,13.5,WATER - CARBONATED/FLVRD DRINK,SPRING WATER,3,30202580517,389,225,1018,Side-Aisle End Cap,-4.47,0.0,0.0
161,786,932424,41,3.99,BAKERY PARTY TRAYS,SUPER PREMIUM PINTS,1,31197937913,315,284,1858,Other Location Display,0.0,0.0,0.0
162,725,857849,28,0.56,MARGARINES,MARGARINE  STICK,1,29602606422,400,191,1446,Other Location Display,0.0,0.0,0.0
163,718,1114006,35,2.0,FROZEN PIE/DESSERTS,FROZEN FRUIT PIES  & COBBLERS,1,30662756515,324,243,1408,Other Location Display,-2.99,0.0,0.0
164,731,10285106,36,3.0,CANDY - PACKAGED,CANDY BARS (MULTI PACK),3,30686351071,355,245,1202,Side-Aisle End Cap,-1.47,0.0,0.0
165,696,1101980,17,5.0,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,3,28364268284,31742,116,0111,Front End Cap,-2.17,0.0,0.0
166,715,1033615,17,0.99,REFRGRATD JUICES/DRNKS,DAIRY CASE FRUIT DRINKS (NO JU,1,28364345470,354,115,1212,Other Location Display,0.0,0.0,0.0
167,731,9527160,22,2.14,BAG SNACKS,POTATO CHIPS,1,28867936983,329,147,1542,Front Aisle,0.0,0.0,0.0
168,766,8090532,24,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,29183345822,322,166,1318,Rear Aisle,-2.09,0.0,0.0
169,764,13190340,55,1.0,CANDY - PACKAGED,EASTER GIFTWARE/DECOR,1,32670850229,33923,381,0922,In-Aisle,-0.29,0.0,0.0
170,605,893018,67,2.29,CHEESE,IWS SINGLE CHEESE,1,33836741254,369,461,1104,Rear Aisle,-0.7,0.0,0.0
171,718,859075,58,4.95,CHEESE,SHREDDED CHEESE,3,32957471270,324,403,1404,Other Location Display,-0.39,0.0,0.0
172,731,13007600,53,1.0,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,32305296792,445,363,1616,In-Aisle,-1.19,0.0,0.0
173,647,834117,63,3.79,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,1,33444726671,343,439,1219,Side-Aisle End Cap,-0.2,0.0,0.0
174,725,871756,64,3.15,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,1,33460950601,400,441,1130,Front End Cap,0.0,0.0,0.0
175,718,917384,79,11.99,FRZN MEAT/MEAT DINNERS,FRZN MULTI SERVE ENTREES ALL,1,40097931137,324,551,1303,Rear End Cap,-1.7,0.0,0.0
176,718,840601,89,1.0,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,40911911803,324,617,1715,In-Aisle,-0.39,0.0,0.0
177,647,7409874,69,2.75,BAG SNACKS,TORTILLA/NACHO CHIPS,1,34133781713,343,481,1245,In-Aisle,0.0,0.0,0.0
178,761,1068719,87,1.89,SUGARS/SWEETNERS,SUGAR,1,40715626592,343,601,1202,Rear End Cap,-0.5,0.0,0.0
179,630,923673,83,3.0,COLD CEREAL,ADULT CEREAL,2,40436340683,306,579,1203,Front End Cap,-2.84,0.0,0.0
