householdid,couponcode,campaignid,productid,agegroup,maritalstatus,income,homeownerstatus,householdsize,householdminors,daydate
712,10000085426,13,914190,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,915493,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,917384,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,919534,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,923746,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,924804,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,927030,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,934172,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,935284,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,940766,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,942817,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,945779,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,951221,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,953320,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,51600070033,13,960732,65+,Married,50-74K,Homeowner,2,None/Unknown,Jun 30
712,10000085426,13,965766,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,976199,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,977545,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,977854,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,981760,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,985119,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,987562,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,993441,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,994928,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,1005202,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,1005609,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,1009200,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1012873,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1024051,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1026209,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,1029743,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,1031087,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,1033615,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,1035143,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1035386,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1037417,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,1040371,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,1045109,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1047226,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1051394,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,1058997,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,1067185,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,1069979,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,51600070033,13,1071342,65+,Married,50-74K,Homeowner,2,None/Unknown,Jun 30
712,10000085426,13,1071939,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,1075074,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,1077555,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,1089025,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,1096036,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,1096343,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1096556,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,1106523,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,1113588,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1123720,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1125943,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,1126899,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,1127511,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1127624,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1127758,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1127838,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1128647,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,1130692,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,1133018,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,1134058,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,1136257,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,1138467,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,1139569,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,5564526,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,5564906,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,5567715,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,5587938,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,5590287,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,5591083,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,5591814,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,5995180,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,6463483,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,6463742,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,6463775,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,6464147,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,7099176,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,7166863,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,7168026,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,7441419,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,7442056,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,8014645,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
755,52100040050,13,8180870,35-44,Unknown,50-74K,Homeowner,1,None/Unknown,Jun 14
725,10000085427,13,9420102,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,9672070,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,10182813,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,12132685,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,51600070033,13,12428436,65+,Married,50-74K,Homeowner,2,None/Unknown,Jun 30
712,10000085426,13,12695224,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,13213567,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,13653496,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,15741049,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
