householdid,productid,storeid,transactiontime,daydate,qty,salesvalue,productdesc,productsubdesc,loyaltydiscount,coupondiscount,couponmatchdiscount
718,1003616,324,4:54 PM,Jan 22,2,5,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,-2.38,0,0
771,849100,359,1:40 PM,Nov 15,1,1.99,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,-4,0,0
699,902167,408,1:40 PM,Dec 4,1,1,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,-0.29,0,0
696,882830,31742,3:34 PM,Feb 11,1,1,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,-0.29,0,0
699,5569845,408,8:26 PM,Apr 10,1,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,-2.19,0,0
731,13007600,445,4:16 PM,Dec 30,1,1,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,-1.19,0,0
647,834117,343,12:19 PM,Mar 16,1,3.79,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,-0.2,0,0
725,871756,400,11:30 AM,Mar 18,1,3.15,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,0,0,0
718,917384,324,1:03 PM,Jul 6,1,11.99,FRZN MEAT/MEAT DINNERS,FRZN MULTI SERVE ENTREES ALL,-1.7,0,0
718,840601,324,5:15 PM,Sep 10,1,1,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,-0.39,0,0
647,7409874,343,12:45 PM,Apr 27,1,2.75,BAG SNACKS,TORTILLA/NACHO CHIPS,0,0,0
761,923673,343,12:12 PM,Jul 16,1,1.5,COLD CEREAL,ADULT CEREAL,-1.42,0,0
761,1068719,343,12:02 PM,Aug 25,1,1.89,SUGARS/SWEETNERS,SUGAR,-0.5,0,0
706,6703892,343,2:48 PM,Aug 27,1,1,ORAL HYGIENE PRODUCTS,TOOTHPASTE,0,0,0
718,15596515,324,6:42 PM,May 24,1,1.49,COLD CEREAL,KIDS CEREAL,-3.3,0,0
614,15926885,288,1:52 PM,Sep 26,1,1.5,BAG SNACKS,BAGGED CHEESE SNACKS,-0.99,0,0
768,839753,323,2:17 PM,Jun 1,2,0.2,SOUP,RAMEN NOODLES/RAMEN CUPS,-0.14,0,0
696,1126899,31742,2:30 PM,Oct 5,2,4.58,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,0,0,0
786,989069,339,8:30 AM,Sep 27,1,2.99,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,0,0,0
630,923673,306,12:03 PM,Aug 3,2,3,COLD CEREAL,ADULT CEREAL,-2.84,0,0
764,954351,33923,3:33 PM,Aug 12,1,1.59,FD WRAPS/BAGS/TRSH BG,COOKING BAGS,-0.1,0,0
699,893118,408,9:08 AM,Dec 6,3,5,CHEESE,SHREDDED CHEESE,-3.97,0,0
607,960942,372,6:10 PM,Apr 4,1,1,CANNED JUICES,CRANBERRY JUICE (50% AND UNDER,-1.69,0,0
607,990335,432,9:18 PM,May 9,1,1.88,COLD CEREAL,ALL FAMILY CEREAL,-1.39,0,0
631,985160,389,4:40 PM,Feb 25,1,3.99,HEAT/SERVE,ENTREES,-2,0,0
725,1098066,400,6:50 PM,May 7,1,0.99,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,0,0,0
718,950894,324,10:51 AM,Jul 23,2,4,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,-2.78,0,0
605,893018,369,11:04 AM,Apr 7,1,2.29,CHEESE,IWS SINGLE CHEESE,-0.7,0,0
696,849843,31742,6:09 PM,Apr 8,2,2,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,-0.58,0,0
725,883404,400,2:08 PM,Feb 5,2,1.76,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,-0.82,0,0
718,859075,324,5:51 PM,Feb 5,2,3.3,CHEESE,SHREDDED CHEESE,-0.26,0,0
712,12132685,448,12:36 PM,Feb 7,1,2,REFRGRATD DOUGH PRODUCTS,REFRIGERATED COOKIES-CHUB,-1.19,0,0
761,919534,343,11:39 AM,Oct 2,3,2.74,REFRGRATD DOUGH PRODUCTS,REFRIGERATED SPECILATY ROLLS,-3.03,-1.4,-1.4
761,5568378,343,11:39 AM,Oct 2,1,2.75,BAG SNACKS,TORTILLA/NACHO CHIPS,0,0,0
696,1126899,31742,10:33 PM,Oct 3,2,4.58,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,0,0,0
733,843306,356,11:00 AM,Sep 2,1,1,FRUIT - SHELF STABLE,PINEAPPLE,-0.49,0,0
718,1038217,324,12:10 PM,Jun 30,1,1.29,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),-0.1,0,0
696,1126899,31742,4:25 PM,Sep 30,1,2.29,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,0,0,0
699,12302114,408,8:34 AM,Sep 30,1,4.99,COLD AND FLU,COLD AND FLU,-2,0,0
768,914190,323,9:08 AM,Sep 30,1,1,CHEESE,CREAM CHEESE,-0.99,0,0
764,1104414,33923,3:08 PM,Sep 9,1,1.88,CRACKERS/MISC BKD FD,SNACK CRACKERS,-1.21,0,0
661,937292,330,9:18 AM,Sep 9,1,2.5,BACON,ECONOMY,-1.49,0,0
631,5585635,389,12:48 PM,Nov 3,1,0.4,YOGURT,YOGURT NOT MULTI-PACKS,0,0,0
740,1136361,404,4:52 PM,Nov 4,1,1,AIR CARE,AIR CARE - AEROSOLS,-0.49,0,0
768,970119,339,12:19 PM,Nov 5,1,1,MILK BY-PRODUCTS,COTTAGE CHEESE,-0.89,0,0
764,17215097,33923,7:47 PM,Nov 11,1,3.33,HAIR CARE PRODUCTS,HAIR CONDITIONERS AND RINSES,-0.66,0,0
764,856252,33923,4:06 PM,Nov 13,1,1.77,FROZEN PIZZA,SNACKS/APPETIZERS,-0.92,0,0
607,874736,372,7:01 PM,Mar 17,1,0.59,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,-0.4,0,0
696,1126899,31742,9:24 PM,Aug 14,1,2.49,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,0,0,0
692,849843,335,4:33 PM,Sep 21,1,0.99,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,-0.3,0,0
696,1066725,358,11:33 AM,Jul 3,1,1.2,FRUIT - SHELF STABLE,FRUIT BOWL AND CUPS,-0.22,0,0
766,1105917,333,9:52 AM,Sep 26,1,2,BUTTER,BUTTER,-1.89,0,0
647,1084551,343,5:49 PM,Jul 5,1,1,DINNER MXS:DRY,SKILLET DINNERS,-1.59,0,0
607,974108,372,9:08 PM,Jul 6,1,1,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,-0.29,0,0
718,988791,324,9:53 AM,Oct 23,1,1.5,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,-1.39,0,0
771,8014645,359,11:41 PM,Sep 4,1,2,REFRGRATD DOUGH PRODUCTS,MISC REFRIG DOUGH PRODUCTS,-0.69,0,0
715,1022872,389,2:23 PM,Mar 23,6,2,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,-1.57,0,0
715,1115874,389,2:23 PM,Mar 23,4,1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,-1.38,0,0
786,1107661,339,9:02 AM,Nov 16,1,0.99,BAKED BREAD/BUNS/ROLLS,MAIN MEAL BREAD,-0.3,0,0
731,881607,438,4:08 PM,Nov 18,1,2.09,FROZEN PIE/DESSERTS,FROZEN CAKES/ALL TYPES INCLUDI,-1.4,0,0
741,871756,315,9:32 PM,Mar 9,1,1.67,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,-1.48,0,0
786,972665,339,8:29 AM,Dec 30,1,3.59,BREAKFAST SAUSAGE/SANDWICHES,OTHER,0,0,0
630,994928,306,7:23 PM,Feb 16,3,1,EGGS,EGGS - MEDIUM,-1.22,0,0
725,859075,400,11:30 AM,Mar 18,1,1.67,CHEESE,SHREDDED CHEESE,-0.11,0,0
764,10121965,33923,9:35 PM,Apr 23,1,1.49,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,0,0,0
696,987562,31742,3:31 PM,Apr 24,1,1.78,CHEESE,SHREDDED CHEESE,0,0,0
740,1039835,404,8:24 PM,Oct 4,1,1.69,MEAT - SHELF STABLE,MISC CND MEATS,0,0,0
715,1132280,389,5:58 PM,May 22,5,3,LUNCHMEAT,MISCELLANEOUS,-0.95,0,0
718,825731,324,3:11 PM,Jun 4,1,2,YOGURT,YOGURT MULTI-PACKS,-0.79,0,0
712,998558,448,10:59 AM,Aug 1,2,2,MEAT - SHELF STABLE,CHILI: CANNED,-1.08,0,0
761,914190,343,11:15 AM,Jun 24,6,6,CHEESE,CREAM CHEESE,-5.94,0,0
761,5585701,343,11:15 AM,Jun 24,1,2.99,CHEESE,SHREDDED CHEESE,-1,0,0
725,883404,400,3:04 PM,Dec 4,2,1.76,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,-0.82,0,0
718,857849,324,3:37 PM,Mar 3,1,0.59,MARGARINES,MARGARINE  STICK,-0.3,0,0
788,5568721,360,10:11 AM,Apr 15,1,1.67,BAG SNACKS,TORTILLA/NACHO CHIPS,-1.62,0,0
607,931532,432,2:26 AM,May 24,1,0.59,SOFT DRINKS,SOFT DRINK BOTTLE NON-CARB (EX,0,0,0
630,837107,306,6:55 PM,May 29,2,2.58,DRY SAUCES/GRAVY,SAUCE MIXES GRAVY MIXES DRY,0,0,0
768,871909,323,6:40 PM,May 31,1,1,LUNCHMEAT,POULTRY,-0.99,0,0
733,1049434,356,4:34 PM,Aug 10,1,1.39,FACIAL TISS/DNR NAPKIN,FACIAL TISSUE & PAPER HANDKE,0,0,0
607,9527549,432,8:32 PM,Jun 4,1,2.69,CONDIMENTS/SAUCES,MISC MEAT SAUCES,-0.4,0,0
605,836635,369,9:09 PM,Oct 29,2,2,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,-0.67,0,0
766,981760,333,4:03 PM,Oct 16,1,1,EGGS,EGGS - X-LARGE,-0.19,0,0
631,987562,389,3:02 PM,Feb 4,1,1.25,CHEESE,SHREDDED CHEESE,-0.53,0,0
696,962671,31742,5:49 PM,Feb 5,2,3.76,ICE CREAM/MILK/SHERBTS,TRADITIONAL,-4.22,0,0
718,996750,324,5:26 PM,Mar 28,1,1.8,FRZN NOVELTIES/WTR ICE,STICKS/ENROBED,-0.2,0,0
605,883404,369,11:41 AM,Dec 23,1,0.99,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,-0.3,0,0
740,942525,404,5:02 PM,Apr 1,1,3.39,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,0,0,0
740,1114597,404,5:02 PM,Apr 1,1,0.88,REFRGRATD JUICES/DRNKS,DAIRY CASE JUICE DRNK UNDER 10,-0.91,0,0
786,972665,339,9:58 AM,Jan 5,1,3.59,BREAKFAST SAUSAGE/SANDWICHES,OTHER,0,0,0
788,989069,313,2:18 PM,Jan 6,4,5.98,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,-5.98,0,0
768,915390,323,3:22 PM,Jul 27,1,2.49,FROZEN PIE/DESSERTS,FROZEN FRUIT PIES  & COBBLERS,-2.5,0,0
733,1106523,356,11:00 AM,Sep 2,1,2.49,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,0,0,0
786,878715,339,8:53 AM,Sep 7,1,15.99,BEERS/ALES,BEERALEMALT LIQUORS,0,0,0
761,996087,343,3:43 PM,Jun 29,1,2.5,CRACKERS/MISC BKD FD,SNACK CRACKERS,-0.19,0,0
768,819255,343,1:54 PM,Aug 15,1,2.5,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,-0.99,0,0
647,925178,343,7:30 PM,Nov 13,2,3.99,HOT DOGS,KOSHER/SPECIALTY,-3.99,0,0
696,1053672,31742,2:49 PM,May 9,1,1.69,COOKIES/CONES,CHOCOLATE COVERED COOKIES,-0.3,0,0
680,1035800,352,4:15 PM,Oct 4,1,1.19,DRIED FRUIT,RAISINS,-0.4,0,0
761,1123536,343,1:55 PM,Jun 14,1,0.88,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,-0.31,0,0
699,940107,408,2:06 PM,Aug 21,1,5.99,MAGAZINE,FOOD-MAGAZINE,0,0,0
706,859010,343,4:43 PM,Jul 14,1,1.05,BAG SNACKS,TORTILLA/NACHO CHIPS,0,0,0
786,940947,339,8:53 AM,Jan 19,1,2.99,HEAT/SERVE,ENTREES,0,0,0
718,973861,324,5:06 PM,Nov 20,2,1.48,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,-0.1,0,0
788,873203,313,6:31 PM,Feb 9,1,1.25,CHEESE,SHREDDED CHEESE,-0.53,0,0
718,883404,324,4:13 PM,Mar 19,1,1.2,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,-0.09,0,0
630,987480,329,4:36 PM,Nov 16,5,1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,-1.98,0,0
715,8158003,354,5:52 PM,May 15,1,0.99,COOKIES/CONES,SPECIALTY COOKIES,0,0,0
696,9676858,31742,9:52 PM,May 21,1,2.5,CANNED JUICES,SOFT DRINKS 12/18&15PK CAN CAR,-1.49,0,0
718,1030819,327,4:08 PM,Sep 14,2,1.48,VEGETABLES - SHELF STABLE,PEAS GREEN,-0.1,0,0
718,10182813,324,11:07 AM,Jul 3,2,2,FROZEN PIZZA,SANDWICHES&HANDHELDS,-0.98,0,0
725,1098066,400,3:07 PM,Oct 30,2,2,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,-0.58,0,0
718,1071939,327,5:07 PM,Sep 27,1,1.09,CHEESE,CREAM CHEESE,-0.1,0,0
786,1127328,339,9:16 AM,Jul 7,1,1.79,DRIED FRUIT,RAISINS,-0.4,0,0
661,9884675,427,3:38 PM,Jul 16,1,2.5,BAKED SWEET GOODS,SNACK CAKE - MULTI PACK,-0.99,0,0
718,1110793,324,9:53 AM,Oct 23,2,0.96,BEANS - CANNED GLASS & MW,VARIETY BEANS - KIDNEY PINTO,-0.08,0,0
605,1029743,369,8:14 PM,Nov 6,1,2.69,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,0,0,0
631,1043035,380,1:38 PM,Nov 6,4,2.76,SOFT DRINKS,MIXERS(CLUB SODA/SELTZERS)FLAV,-0.8,0,0
718,859075,324,9:30 PM,Nov 6,2,3.44,CHEESE,SHREDDED CHEESE,-0.34,0,0
788,1022119,360,11:18 AM,Nov 14,3,3.75,CONVENIENT BRKFST/WHLSM SNACKS,TOASTER PASTRIES,-1.14,0,0
740,1134109,370,3:25 PM,Jan 23,3,4.5,TOYS AND GAMES,PLAYBALLS,0,0,0
622,1032770,410,4:56 PM,Nov 17,1,1.49,CRACKERS/MISC BKD FD,VENDING SIZE/SNGL SERVE CRACKE,0,0,0
718,12778374,324,6:45 PM,Dec 6,1,1,ROLLS,ROLLS: BAGELS - LESS THAN 6,-0.69,0,0
771,1108094,424,1:21 PM,Feb 16,2,23.98,BEERS/ALES,BEERALEMALT LIQUORS,0,0,0
731,6533619,445,4:16 PM,Dec 30,1,1,SPRING/SUMMER SEASONAL,MISC HOLIDAYS,0,0,0
718,8090537,324,8:16 PM,Apr 22,2,5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,-4.18,0,0
788,905539,318,5:36 PM,May 14,3,2.97,DINNER SAUSAGE,SMOKED/COOKED,-3,0,0
696,851528,31742,5:49 PM,Aug 3,1,2.99,DISHWASH DETERGENTS,AUTO DISH DETERGENT - GEL,-1.15,0,0
786,972665,339,8:34 AM,Jun 8,1,3.79,BREAKFAST SAUSAGE/SANDWICHES,OTHER,0,0,0
797,945339,450,2:43 PM,Aug 11,1,12.99,DOMESTIC WINE,PREMIUM 750ML WINES,0,0,0
761,932863,343,11:37 AM,Oct 28,4,5.98,HOT DOGS,PREMIUM - MEAT,-5.98,0,0
680,15596705,424,7:38 PM,Nov 28,1,2.77,COLD CEREAL,KIDS CEREAL,-3.02,0,0
680,896369,424,4:22 PM,Dec 1,1,1,PNT BTR/JELLY/JAMS,PEANUT BUTTER,-0.79,0,0
715,960942,389,11:08 AM,Apr 6,3,3,CANNED JUICES,CRANBERRY JUICE (50% AND UNDER,-5.07,0,0
755,970119,388,5:25 PM,Mar 5,2,2,MILK BY-PRODUCTS,COTTAGE CHEESE,-1.18,0,0
715,857849,389,12:49 PM,Mar 12,1,0.44,MARGARINES,MARGARINE  STICK,-0.45,0,0
706,9396772,384,4:48 PM,May 1,1,1.5,CANDY - PACKAGED,CANDY BAGS-CHOCOCLATE,-0.29,0,0
718,883954,324,1:12 PM,Mar 13,1,0.2,CANDY - CHECKLANE,CHEWING GUM,-0.05,0,0
630,937343,306,4:58 PM,Apr 26,1,2,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,-1.39,0,0
725,1053763,400,1:08 PM,Jun 2,6,1.2,PWDR/CRYSTL DRNK MX,SOFT DRINK POWDER POUCHES,0,0,0
718,833014,324,11:03 AM,Jun 26,2,5.58,SEAFOOD - FROZEN,FRZN GRILLED PORTIONS,-0.4,0,0
647,951590,438,6:10 PM,Oct 21,2,2.58,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,-1,0,0
712,12132773,369,1:19 PM,Sep 7,1,2.99,PAPER TOWELS,PAPER TOWELS & HOLDERS,0,0,0
740,914190,404,2:36 PM,Oct 3,2,2.5,CHEESE,CREAM CHEESE,-1.48,0,0
733,892008,356,12:22 PM,Nov 27,1,1,MEAT - SHELF STABLE,PASTA: CANNED,0,0,0
762,823721,391,8:58 PM,Apr 7,1,2.99,CHEESE,GRATED CHEESE,0,0,0
605,943141,369,1:14 PM,Mar 7,1,0.89,SOFT DRINKS,MIXERS(TONIC WTR/CLUB SODA/GNG,0,0,0
725,893501,400,2:16 PM,Dec 11,2,1.76,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,-1.42,0,0
718,845078,324,6:24 PM,Mar 31,1,1.67,BAG SNACKS,BAGGED CHEESE SNACKS,-0.82,0,0
786,981760,339,9:58 AM,Jan 5,1,1.19,EGGS,EGGS - X-LARGE,0,0,0
706,919948,384,5:58 PM,May 28,1,1,FRZN NOVELTIES/WTR ICE,STICKS/ENROBED,-1,0,0
725,999270,400,5:39 PM,Jul 3,1,2.5,BACON,ECONOMY,-1.49,0,0
718,999971,324,3:53 PM,May 15,1,0.89,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,-0.1,0,0
661,1124729,427,11:11 PM,Jun 10,1,0.3,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,-0.3,0,0
718,991303,324,7:42 PM,Sep 19,1,4.59,HEAT/SERVE,ENTREES,-0.4,0,0
706,8090532,384,8:31 PM,Jun 14,2,5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,-4.18,0,0
601,961458,32004,6:07 PM,Aug 22,1,1,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,-0.29,0,0
788,12385342,313,11:20 AM,Jul 9,1,0.94,BAKING MIXES,LAYER CAKE MIX,0,0,0
771,9553031,322,12:40 PM,Sep 1,1,0.5,SOUP,BROTH,-0.19,0,0
762,1014802,31862,4:11 PM,Nov 11,1,1.25,CONVENIENT BRKFST/WHLSM SNACKS,TOASTER PASTRIES,-0.54,0,0
733,955288,356,3:53 PM,Apr 13,1,1,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,-1.99,0,0
706,1115175,343,5:21 PM,Jul 5,1,3.49,BAG SNACKS,TORTILLA/NACHO CHIPS,0,0,0
712,904129,448,10:33 AM,May 5,1,6.02,MEAT - MISC,GRND/PATTY - FROZEN,-2.97,0,0
718,883404,324,5:37 PM,Sep 12,1,0.88,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,-0.41,0,0
630,15926886,306,9:35 AM,Nov 18,1,2.5,BAG SNACKS,POTATO CHIPS,0,0,0
647,1128299,343,6:36 PM,Aug 8,1,1.29,SOUP,BOUILLON,-0.1,0,0
725,940726,400,2:26 PM,Jul 4,1,1,LUNCHMEAT,MISCELLANEOUS,-1.29,0,0
661,954086,427,10:44 PM,Jul 7,1,2.49,COLD CEREAL,KIDS CEREAL,0,0,0
725,883404,400,11:26 AM,Feb 26,2,1.98,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,-0.6,0,0
761,866102,445,12:05 PM,Feb 27,1,5.99,MEAT - MISC,MEAT SNACKS,0,0,0
764,941361,33923,9:35 PM,Apr 23,1,4.99,MELONS,WATERMELON SEEDLESS WHOLE,0,0,0
766,981760,333,3:50 PM,Apr 26,1,0.79,EGGS,EGGS - X-LARGE,-0.35,0,0
753,5569230,367,11:13 PM,May 15,1,4,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,-0.69,0,0
741,839419,315,3:28 PM,Jun 1,1,5.99,MEAT - MISC,BREAST - BONELESS(IQF),-3,0,0
712,15926886,448,10:27 AM,Sep 27,1,2.5,BAG SNACKS,POTATO CHIPS,0,0,0
725,5568378,400,9:18 AM,Sep 18,1,1.88,BAG SNACKS,TORTILLA/NACHO CHIPS,-0.87,0,0
605,7441558,369,1:23 PM,Oct 29,1,0.6,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,0,0,0
680,952972,424,7:38 PM,Nov 28,2,5,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,-2.38,0,0
696,1087605,31742,7:29 PM,Dec 3,1,3.49,CONVENIENT BRKFST/WHLSM SNACKS,CEREAL BARS,0,0,0
661,5569230,427,3:13 PM,Dec 6,1,3,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,-1.69,0,0
718,1097001,324,6:01 PM,Oct 17,1,3,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,-0.99,0,0
786,889779,339,6:05 PM,Oct 31,1,1,FRZN MEAT/MEAT DINNERS,SS ECONOMY ENTREES/DINNERS ALL,0,0,0
712,1066252,448,12:54 PM,Sep 19,1,2,CRACKERS/MISC BKD FD,SNACK CRACKERS,-0.79,0,0
786,932424,315,6:58 PM,Oct 12,1,3.99,BAKERY PARTY TRAYS,SUPER PREMIUM PINTS,0,0,0
725,857849,400,2:46 PM,Jul 11,1,0.56,MARGARINES,MARGARINE  STICK,0,0,0
718,1114006,324,2:08 PM,Sep 1,1,2,FROZEN PIE/DESSERTS,FROZEN FRUIT PIES  & COBBLERS,-2.99,0,0
731,10285106,355,12:02 PM,Sep 3,3,3,CANDY - PACKAGED,CANDY BARS (MULTI PACK),-1.47,0,0
712,7139529,448,11:02 AM,Mar 13,1,3,CONDIMENTS/SAUCES,BBQ SAUCE,-0.39,0,0
725,883404,400,12:25 PM,Apr 17,1,0.88,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,-0.41,0,0
771,13511811,359,10:52 PM,Sep 24,1,3,FROZEN PIZZA,SNACKS/APPETIZERS,-1.99,0,0
771,929018,359,10:26 PM,May 7,1,2.69,BACON,PRE-COOKED,0,0,0
647,986727,343,2:58 PM,Aug 22,1,5.99,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,-2.2,0,0
696,841220,31742,9:47 AM,Sep 4,2,5,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,-2.58,0,0
706,949965,384,7:09 PM,Oct 10,2,3.99,DINNER SAUSAGE,SMOKED/COOKED,-3.99,0,0
718,929309,324,12:03 PM,Oct 15,1,1.25,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,0,0,0
761,1004385,343,1:21 PM,Nov 15,1,1.88,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,-1.08,0,0
755,993171,388,5:33 PM,May 28,1,2.5,SNKS/CKYS/CRKR/CNDY,BARS - GRANOLA/SNACK,-0.49,0,0
787,957736,389,10:18 AM,Aug 14,3,13.5,WATER - CARBONATED/FLVRD DRINK,SPRING WATER,-4.47,0,0
725,893018,400,2:26 PM,Jul 4,1,2,CHEESE,IWS SINGLE CHEESE,-0.99,0,0
731,858014,384,4:10 PM,Feb 26,2,15.98,SINUS AND ALLERGY,SINUS AND ALLERGY,-11.96,0,0
766,1066462,333,8:06 PM,Sep 3,1,0.88,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,-0.51,0,0
631,7139529,389,2:22 PM,Apr 4,2,6,CONDIMENTS/SAUCES,BBQ SAUCE,-0.78,0,0
718,1054262,324,9:30 PM,Nov 6,1,2,COLD CEREAL,KIDS CEREAL,-0.59,0,0
761,1113274,343,10:46 AM,Dec 1,1,4.99,PAPER TOWELS,PAPER TOWELS & HOLDERS,-5,0,0
