householdid,productid,storeid,transactiontime,daydate,productdesc,productsubdesc,salesvalue,displayadtypedesc
771,1050229,352,11:45 AM,Sep 14,SOUP,CONDENSED SOUP,0.6,Rear End Cap
755,921744,388,2:32 PM,Jun 13,BAG SNACKS,TORTILLA/NACHO CHIPS,1.05,Other Location Display
768,1118533,323,10:52 PM,Jun 29,MARGARINES,MARGARINE: TUBS AND BOWLS,1.18,In-Aisle
725,883404,400,11:26 AM,Feb 26,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1.98,In-Aisle
761,866102,445,12:05 PM,Feb 27,MEAT - MISC,MEAT SNACKS,5.99,Other Location Display
786,972665,339,8:07 AM,Jan 25,BREAKFAST SAUSAGE/SANDWICHES,OTHER,3.59,Other Location Display
607,1042438,375,7:17 PM,Nov 21,COOKIES/CONES,SANDWICH COOKIES,2,Rear End Cap
740,960732,370,4:30 PM,Nov 23,COLD CEREAL,ALL FAMILY CEREAL,2.5,Rear End Cap
725,892008,400,2:56 PM,Feb 15,MEAT - SHELF STABLE,PASTA: CANNED,2,In-Shelf
764,941361,33923,9:35 PM,Apr 23,MELONS,WATERMELON SEEDLESS WHOLE,4.99,Other Location Display
766,981760,333,3:50 PM,Apr 26,EGGS,EGGS - X-LARGE,0.79,In-Aisle
753,5569230,367,11:13 PM,May 15,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,4,Other Location Display
696,1098066,31742,6:17 PM,Jun 19,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,0.99,In-Aisle
605,7441558,369,1:23 PM,Oct 29,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,0.6,Other Location Display
786,972665,339,9:09 AM,Nov 16,BREAKFAST SAUSAGE/SANDWICHES,OTHER,3.79,Other Location Display
788,1022003,360,11:57 AM,Nov 17,SOUP,CONDENSED SOUP,6.6,Front End Cap
788,1022003,360,8:35 PM,Nov 23,SOUP,CONDENSED SOUP,5.94,Front End Cap
630,833025,306,12:39 PM,Apr 5,MILK BY-PRODUCTS,SOUR CREAMS,1,In-Shelf
718,857849,324,11:03 AM,Mar 12,MARGARINES,MARGARINE  STICK,0.88,Other Location Display
718,857849,324,1:42 PM,Mar 13,MARGARINES,MARGARINE  STICK,0.88,Other Location Display
718,857849,324,6:35 PM,Mar 15,MARGARINES,MARGARINE  STICK,0.88,Other Location Display
725,1135573,400,12:41 PM,May 8,BAG SNACKS,TORTILLA/NACHO CHIPS,2.5,Other Location Display
788,1112754,360,2:13 PM,Sep 12,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.09,Front End Cap
712,951590,448,10:48 AM,Aug 20,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1.29,Other Location Display
692,9836526,335,2:18 PM,Aug 20,LUNCHMEAT,POULTRY,2.99,Rear Aisle
761,951190,343,6:38 PM,Oct 11,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,1.99,Rear End Cap
630,823704,306,8:28 PM,Sep 1,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,2.5,Rear Aisle
764,989411,33923,9:07 PM,Apr 16,FROZEN PIZZA,PIZZA/PREMIUM,4.5,Front End Cap
725,1014860,400,2:08 PM,Feb 5,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,0.77,Rear Aisle
753,12386079,396,4:07 PM,Dec 11,PAPER TOWELS,PAPER TOWELS & HOLDERS,13.99,Rear End Cap
630,981760,306,11:10 AM,Apr 28,EGGS,EGGS - X-LARGE,0.79,In-Aisle
771,890610,293,9:29 AM,Apr 30,BREAKFAST SWEETS,SW GDS: SW ROLLS/DAN,1,Front Aisle
741,839419,315,3:28 PM,Jun 1,MEAT - MISC,BREAST - BONELESS(IQF),5.99,Other Location Display
712,15926886,448,10:27 AM,Sep 27,BAG SNACKS,POTATO CHIPS,2.5,Other Location Display
712,901397,448,11:36 AM,Nov 7,LAUNDRY ADDITIVES,FABRIC SOFTENER LIQUID,4.99,Rear End Cap
786,972665,339,4:36 PM,Nov 10,BREAKFAST SAUSAGE/SANDWICHES,OTHER,3.79,Other Location Display
630,923746,306,3:38 PM,Apr 18,EGGS,EGGS - LARGE,1.45,In-Aisle
718,960942,324,3:38 PM,Apr 3,CANNED JUICES,CRANBERRY JUICE (50% AND UNDER,1,In-Shelf
718,9526619,324,3:38 PM,Apr 3,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,0.88,In-Aisle
718,1010440,324,1:22 PM,Mar 27,FROZEN PIZZA,SANDWICHES&HANDHELDS,5,Rear End Cap
768,820321,384,6:20 PM,May 11,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,2.79,In-Aisle
647,1128299,343,6:36 PM,Aug 8,SOUP,BOUILLON,1.29,In-Shelf
725,940726,400,2:26 PM,Jul 4,LUNCHMEAT,MISCELLANEOUS,1,Rear Aisle
661,954086,427,10:44 PM,Jul 7,COLD CEREAL,KIDS CEREAL,2.49,Rear End Cap
601,8090532,32004,5:55 PM,Mar 27,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,4.59,Front Aisle
741,842140,315,4:30 PM,Nov 30,CHEESE,SHREDDED CHEESE,1.67,Side-Aisle End Cap
786,1106523,339,9:34 AM,Feb 9,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2.69,Front End Cap
740,971949,404,1:37 PM,Feb 9,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,1.67,Front Aisle
712,1109832,448,12:45 PM,Dec 17,COOKIES,COOKIES: REGULAR,4,Rear Aisle
630,981760,306,4:26 PM,May 3,EGGS,EGGS - X-LARGE,0.79,In-Aisle
605,1058997,369,1:56 PM,Jul 13,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1.5,Other Location Display
605,5591538,369,4:29 PM,Sep 12,BAKED SWEET GOODS,SWEET GOODS - FULL SIZE,1.25,In-Aisle
647,887618,343,2:58 PM,Aug 22,BAKING MIXES,FROSTING,1.39,Rear End Cap
725,5568378,400,9:18 AM,Sep 18,BAG SNACKS,TORTILLA/NACHO CHIPS,1.88,Side-Aisle End Cap
797,1054262,450,3:41 PM,Aug 5,COLD CEREAL,KIDS CEREAL,1.5,In-Aisle
706,1049897,384,7:09 PM,Oct 10,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,0.88,In-Aisle
696,1003188,31742,5:58 PM,Oct 13,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,6.36,Other Location Display
761,960791,343,12:36 PM,Oct 18,CANNED JUICES,CRANAPPLE CRAN GRAPE JUICE (5,3.76,Front End Cap
680,952972,424,7:38 PM,Nov 28,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,5,Front End Cap
696,1087605,31742,7:29 PM,Dec 3,CONVENIENT BRKFST/WHLSM SNACKS,CEREAL BARS,3.49,In-Aisle
661,5569230,427,3:13 PM,Dec 6,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,3,Front End Cap
718,893018,324,4:17 PM,Apr 10,CHEESE,IWS SINGLE CHEESE,2.79,Other Location Display
696,1053672,31742,2:49 PM,May 9,COOKIES/CONES,CHOCOLATE COVERED COOKIES,1.69,Rear Aisle
680,1035800,352,4:15 PM,Oct 4,DRIED FRUIT,RAISINS,1.19,Front Aisle
607,9527549,432,8:32 PM,Jun 4,CONDIMENTS/SAUCES,MISC MEAT SAUCES,2.69,Front Aisle
696,1126899,31742,9:24 PM,Aug 14,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2.49,Front End Cap
699,940107,408,2:06 PM,Aug 21,MAGAZINE,FOOD-MAGAZINE,5.99,In-Aisle
706,859010,343,4:43 PM,Jul 14,BAG SNACKS,TORTILLA/NACHO CHIPS,1.05,Other Location Display
786,940947,339,8:53 AM,Jan 19,HEAT/SERVE,ENTREES,2.99,Other Location Display
631,987562,389,3:02 PM,Feb 4,CHEESE,SHREDDED CHEESE,1.25,In-Aisle
696,962671,31742,5:49 PM,Feb 5,ICE CREAM/MILK/SHERBTS,TRADITIONAL,3.76,Front End Cap
718,996750,324,5:26 PM,Mar 28,FRZN NOVELTIES/WTR ICE,STICKS/ENROBED,1.8,Front End Cap
786,972665,339,8:29 AM,Dec 30,BREAKFAST SAUSAGE/SANDWICHES,OTHER,3.59,Other Location Display
630,994928,306,7:23 PM,Feb 16,EGGS,EGGS - MEDIUM,1,In-Aisle
725,859075,400,11:30 AM,Mar 18,CHEESE,SHREDDED CHEESE,1.67,Other Location Display
740,1039835,404,8:24 PM,Oct 4,MEAT - SHELF STABLE,MISC CND MEATS,1.69,Front End Cap
718,825731,324,3:11 PM,Jun 4,YOGURT,YOGURT MULTI-PACKS,2,In-Aisle
761,914190,343,11:15 AM,Jun 24,CHEESE,CREAM CHEESE,6,In-Aisle
761,5585701,343,11:15 AM,Jun 24,CHEESE,SHREDDED CHEESE,2.99,In-Aisle
786,878715,339,8:53 AM,Sep 7,BEERS/ALES,BEERALEMALT LIQUORS,15.99,Other Location Display
761,996087,343,3:43 PM,Jun 29,CRACKERS/MISC BKD FD,SNACK CRACKERS,2.5,Side-Aisle End Cap
768,819255,343,1:54 PM,Aug 15,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,2.5,In-Aisle
647,925178,343,7:30 PM,Nov 13,HOT DOGS,KOSHER/SPECIALTY,3.99,In-Aisle
718,857849,324,3:37 PM,Mar 3,MARGARINES,MARGARINE  STICK,0.59,Other Location Display
630,837107,306,6:55 PM,May 29,DRY SAUCES/GRAVY,SAUCE MIXES GRAVY MIXES DRY,2.58,In-Aisle
768,871909,323,6:40 PM,May 31,LUNCHMEAT,POULTRY,1,Rear Aisle
733,1049434,356,4:34 PM,Aug 10,FACIAL TISS/DNR NAPKIN,FACIAL TISSUE & PAPER HANDKE,1.39,Side-Aisle End Cap
692,849843,335,4:33 PM,Sep 21,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,0.99,Side-Aisle End Cap
696,1066725,358,11:33 AM,Jul 3,FRUIT - SHELF STABLE,FRUIT BOWL AND CUPS,1.2,In-Shelf
766,1105917,333,9:52 AM,Sep 26,BUTTER,BUTTER,2,In-Aisle
647,1084551,343,5:49 PM,Jul 5,DINNER MXS:DRY,SKILLET DINNERS,1,In-Shelf
607,974108,372,9:08 PM,Jul 6,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,1,Front Aisle
766,981760,333,4:03 PM,Oct 16,EGGS,EGGS - X-LARGE,1,In-Aisle
715,1022872,389,2:23 PM,Mar 23,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,2,Other Location Display
715,1115874,389,2:23 PM,Mar 23,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,Front Aisle
786,1107661,339,9:02 AM,Nov 16,BAKED BREAD/BUNS/ROLLS,MAIN MEAL BREAD,0.99,In-Aisle
731,881607,438,4:08 PM,Nov 18,FROZEN PIE/DESSERTS,FROZEN CAKES/ALL TYPES INCLUDI,2.09,In-Aisle
788,873203,313,6:31 PM,Feb 9,CHEESE,SHREDDED CHEESE,1.25,In-Aisle
718,883404,324,4:13 PM,Mar 19,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1.2,Rear End Cap
715,1132280,389,5:58 PM,May 22,LUNCHMEAT,MISCELLANEOUS,3,Rear Aisle
712,998558,448,10:59 AM,Aug 1,MEAT - SHELF STABLE,CHILI: CANNED,2,Other Location Display
733,1106523,356,11:00 AM,Sep 2,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2.49,Other Location Display
725,883404,400,3:04 PM,Dec 4,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1.76,Other Location Display
788,5568721,360,10:11 AM,Apr 15,BAG SNACKS,TORTILLA/NACHO CHIPS,1.67,Other Location Display
607,931532,432,2:26 AM,May 24,SOFT DRINKS,SOFT DRINK BOTTLE NON-CARB (EX,0.59,Front Aisle
761,1123536,343,1:55 PM,Jun 14,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,0.88,In-Aisle
605,836635,369,9:09 PM,Oct 29,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,2,Mid-Aisle End Cap
718,988791,324,9:53 AM,Oct 23,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1.5,Front End Cap
771,8014645,359,11:41 PM,Sep 4,REFRGRATD DOUGH PRODUCTS,MISC REFRIG DOUGH PRODUCTS,2,In-Aisle
718,973861,324,5:06 PM,Nov 20,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,1.48,Other Location Display
741,871756,315,9:32 PM,Mar 9,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,1.67,Rear End Cap
605,883404,369,11:41 AM,Dec 23,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,0.99,In-Aisle
740,942525,404,5:02 PM,Apr 1,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,3.39,Rear End Cap
740,1114597,404,5:02 PM,Apr 1,REFRGRATD JUICES/DRNKS,DAIRY CASE JUICE DRNK UNDER 10,0.88,Front Aisle
786,972665,339,9:58 AM,Jan 5,BREAKFAST SAUSAGE/SANDWICHES,OTHER,3.59,Other Location Display
788,989069,313,2:18 PM,Jan 6,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,5.98,Rear Aisle
764,10121965,33923,9:35 PM,Apr 23,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1.49,Rear Aisle
696,987562,31742,3:31 PM,Apr 24,CHEESE,SHREDDED CHEESE,1.78,Other Location Display
768,915390,323,3:22 PM,Jul 27,FROZEN PIE/DESSERTS,FROZEN FRUIT PIES  & COBBLERS,2.49,Rear End Cap
630,987480,329,4:36 PM,Nov 16,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,In-Aisle
715,857849,389,12:49 PM,Mar 12,MARGARINES,MARGARINE  STICK,0.44,In-Aisle
706,9396772,384,4:48 PM,May 1,CANDY - PACKAGED,CANDY BAGS-CHOCOCLATE,1.5,Front End Cap
718,883954,324,1:12 PM,Mar 13,CANDY - CHECKLANE,CHEWING GUM,0.2,Front Aisle
715,8158003,354,5:52 PM,May 15,COOKIES/CONES,SPECIALTY COOKIES,0.99,Rear End Cap
718,999971,324,3:53 PM,May 15,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,0.89,Other Location Display
725,1053763,400,1:08 PM,Jun 2,PWDR/CRYSTL DRNK MX,SOFT DRINK POWDER POUCHES,1.2,Front End Cap
601,961458,32004,6:07 PM,Aug 22,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,1,Rear End Cap
788,12385342,313,11:20 AM,Jul 9,BAKING MIXES,LAYER CAKE MIX,0.94,Rear End Cap
771,9553031,322,12:40 PM,Sep 1,SOUP,BROTH,0.5,In-Shelf
762,1014802,31862,4:11 PM,Nov 11,CONVENIENT BRKFST/WHLSM SNACKS,TOASTER PASTRIES,1.25,Front End Cap
725,893501,400,2:16 PM,Dec 11,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1.76,In-Aisle
771,1108094,424,1:21 PM,Feb 16,BEERS/ALES,BEERALEMALT LIQUORS,23.98,Side-Aisle End Cap
731,6533619,445,4:16 PM,Dec 30,SPRING/SUMMER SEASONAL,MISC HOLIDAYS,1,Rear Aisle
797,945339,450,2:43 PM,Aug 11,DOMESTIC WINE,PREMIUM 750ML WINES,12.99,In-Aisle
725,999270,400,5:39 PM,Jul 3,BACON,ECONOMY,2.5,In-Aisle
755,970119,388,5:25 PM,Mar 5,MILK BY-PRODUCTS,COTTAGE CHEESE,2,In-Aisle
718,10182813,324,11:07 AM,Jul 3,FROZEN PIZZA,SANDWICHES&HANDHELDS,2,Rear End Cap
725,1098066,400,3:07 PM,Oct 30,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,2,In-Aisle
718,1071939,327,5:07 PM,Sep 27,CHEESE,CREAM CHEESE,1.09,In-Aisle
786,1127328,339,9:16 AM,Jul 7,DRIED FRUIT,RAISINS,1.79,Other Location Display
712,12132773,369,1:19 PM,Sep 7,PAPER TOWELS,PAPER TOWELS & HOLDERS,2.99,Mid-Aisle End Cap
740,914190,404,2:36 PM,Oct 3,CHEESE,CREAM CHEESE,2.5,Side-Aisle End Cap
788,1022119,360,11:18 AM,Nov 14,CONVENIENT BRKFST/WHLSM SNACKS,TOASTER PASTRIES,3.75,Front End Cap
740,1134109,370,3:25 PM,Jan 23,TOYS AND GAMES,PLAYBALLS,4.5,In-Aisle
622,1032770,410,4:56 PM,Nov 17,CRACKERS/MISC BKD FD,VENDING SIZE/SNGL SERVE CRACKE,1.49,Rear End Cap
733,892008,356,12:22 PM,Nov 27,MEAT - SHELF STABLE,PASTA: CANNED,1,Front End Cap
762,823721,391,8:58 PM,Apr 7,CHEESE,GRATED CHEESE,2.99,In-Aisle
605,943141,369,1:14 PM,Mar 7,SOFT DRINKS,MIXERS(TONIC WTR/CLUB SODA/GNG,0.89,In-Aisle
706,1115175,343,5:21 PM,Jul 5,BAG SNACKS,TORTILLA/NACHO CHIPS,3.49,Side-Aisle End Cap
712,904129,448,10:33 AM,May 5,MEAT - MISC,GRND/PATTY - FROZEN,6.02,Other Location Display
718,883404,324,5:37 PM,Sep 12,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,0.88,In-Aisle
696,851528,31742,5:49 PM,Aug 3,DISHWASH DETERGENTS,AUTO DISH DETERGENT - GEL,2.99,Front End Cap
786,972665,339,8:34 AM,Jun 8,BREAKFAST SAUSAGE/SANDWICHES,OTHER,3.79,Rear Aisle
680,15596705,424,7:38 PM,Nov 28,COLD CEREAL,KIDS CEREAL,2.77,Rear End Cap
680,896369,424,4:22 PM,Dec 1,PNT BTR/JELLY/JAMS,PEANUT BUTTER,1,Rear End Cap
715,960942,389,11:08 AM,Apr 6,CANNED JUICES,CRANBERRY JUICE (50% AND UNDER,3,Rear End Cap
630,937343,306,4:58 PM,Apr 26,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,2,Front End Cap
696,9676858,31742,9:52 PM,May 21,CANNED JUICES,SOFT DRINKS 12/18&15PK CAN CAR,2.5,Rear Aisle
718,1030819,327,4:08 PM,Sep 14,VEGETABLES - SHELF STABLE,PEAS GREEN,1.48,In-Shelf
661,1124729,427,11:11 PM,Jun 10,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,0.3,In-Aisle
718,991303,324,7:42 PM,Sep 19,HEAT/SERVE,ENTREES,4.59,Rear Aisle
706,8090532,384,8:31 PM,Jun 14,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,5,In-Aisle
718,833014,324,11:03 AM,Jun 26,SEAFOOD - FROZEN,FRZN GRILLED PORTIONS,5.58,Rear Aisle
647,951590,438,6:10 PM,Oct 21,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,2.58,In-Aisle
661,9884675,427,3:38 PM,Jul 16,BAKED SWEET GOODS,SNACK CAKE - MULTI PACK,2.5,In-Aisle
718,1110793,324,9:53 AM,Oct 23,BEANS - CANNED GLASS & MW,VARIETY BEANS - KIDNEY PINTO,0.96,Rear End Cap
605,1029743,369,8:14 PM,Nov 6,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2.69,Other Location Display
631,1043035,380,1:38 PM,Nov 6,SOFT DRINKS,MIXERS(CLUB SODA/SELTZERS)FLAV,2.76,Side-Aisle End Cap
718,859075,324,9:30 PM,Nov 6,CHEESE,SHREDDED CHEESE,3.44,Other Location Display
733,955288,356,3:53 PM,Apr 13,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,1,Rear End Cap
718,12778374,324,6:45 PM,Dec 6,ROLLS,ROLLS: BAGELS - LESS THAN 6,1,Front Aisle
718,845078,324,6:24 PM,Mar 31,BAG SNACKS,BAGGED CHEESE SNACKS,1.67,In-Aisle
786,981760,339,9:58 AM,Jan 5,EGGS,EGGS - X-LARGE,1.19,Rear Aisle
718,8090537,324,8:16 PM,Apr 22,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,5,Rear Aisle
788,905539,318,5:36 PM,May 14,DINNER SAUSAGE,SMOKED/COOKED,2.97,Other Location Display
706,919948,384,5:58 PM,May 28,FRZN NOVELTIES/WTR ICE,STICKS/ENROBED,1,Rear End Cap
761,932863,343,11:37 AM,Oct 28,HOT DOGS,PREMIUM - MEAT,5.98,Front Aisle
630,15926886,306,9:35 AM,Nov 18,BAG SNACKS,POTATO CHIPS,2.5,Side-Aisle End Cap
607,883404,372,5:23 PM,Jul 9,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,0.88,In-Aisle
